row_label_raw,row_label_full,col_0,Công cụ và dụng cụ VND,numeric__Công cụ và dụng cụ VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,6.975.680.199,6975680199.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,10.487.594.693,10487594693.0
Chuyển từ công cụ và dụng cụ,Chuyển từ công cụ và dụng cụ,Chuyển từ công cụ và dụng cụ,82.411.360,82411360.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(15.875.210.313),-15875210313.0
Giảm do bán công ty con (Thuyết minh 7(a)),Giảm do bán công ty con (Thuyết minh 7(a)),Giảm do bán công ty con (Thuyết minh 7(a)),(37.937.244),-37937244.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.632.538.695,1632538695.0
