row_label_raw,row_label_full,col_0,Công ty Cổ phần Đầu tư Phát triển Địa ốc Đông Sài Gòn VND,Công ty TNHH Thương Tín Tàu Cuốc VND,Tổng cộng VND,numeric__Công ty Cổ phần Đầu tư Phát triển Địa ốc Đông Sài Gòn VND,numeric__Công ty TNHH Thương Tín Tàu Cuốc VND,numeric__Tổng cộng VND
Tải sản thuần có thể xác định tại ngày bán,Tải sản thuần có thể xác định tại ngày bán,Tải sản thuần có thể xác định tại ngày bán,118.829.177.036,294.760.914.191,413.590.091.227,118829177036.0,294760914191.0,413590091227.0
Phần tài sản thuần đã bán,Phần tài sản thuần đã bán,Phần tài sản thuần đã bán,6.146.559.216,27.118.004.106,33.264.563.322,6146559216.0,27118004106.0,33264563322.0
Giảm lợi thế thương mại (Thuyết minh 21),Giảm lợi thế thương mại (Thuyết minh 21),Giảm lợi thế thương mại (Thuyết minh 21),199.198.089,-,199.198.089,199198089.0,,199198089.0
,,,6.345.757.305,27.118.004.106,33.463.761.411,6345757305.0,27118004106.0,33463761411.0
"Lãi từ việc bán một phần, ghi nhận vào lợi nhuận chưa phân phối","Lãi từ việc bán một phần, ghi nhận vào lợi nhuận chưa phân phối","Lãi từ việc bán một phần, ghi nhận vào lợi nhuận chưa phân phối",6.345.757.305,27.374.331.894,32.278.574.589,6345757305.0,27374331894.0,32278574589.0
Tiền thuần nhận được trong báo cáo lưu chuyển tiền tệ hợp nhất,Tiền thuần nhận được trong báo cáo lưu chuyển tiền tệ hợp nhất,Tiền thuần nhận được trong báo cáo lưu chuyển tiền tệ hợp nhất,11.250.000.000,54.492.336.000,65.742.336.000,11250000000.0,54492336000.0,65742336000.0
