row_label_raw,row_label_full,col_0,Công ty Cổ phần Đầu tư An Phước Gia VND,Công ty Cổ phần Đầu tư Xây dựng Hùng Anh VND,Tổng cộng VND,numeric__Công ty Cổ phần Đầu tư An Phước Gia VND,numeric__Công ty Cổ phần Đầu tư Xây dựng Hùng Anh VND,numeric__Tổng cộng VND
Thu từ bán công ty liên kết,Thu từ bán công ty liên kết,Thu từ bán công ty liên kết,200.101.000.000,73.500.000.000,273.601.000.000,200101000000.0,73500000000.0,273601000000.0
Giá trị ghi số của các khoản đầu tư vào công ty liên kết,Giá trị ghi số của các khoản đầu tư vào công ty liên kết,Giá trị ghi số của các khoản đầu tư vào công ty liên kết,(137.604.828.225),(20.214.879.650),(157.819.707.875),-137604828225.0,-20214879650.0,-157819707875.0
Lãi từ bán công ty liên kết,Lãi từ bán công ty liên kết,Lãi từ bán công ty liên kết,62.496.171.775,53.285.120.350,115.781.292.125,62496171775.0,53285120350.0,115781292125.0
