row_label_raw,row_label_full,col_0,Công ty Cổ phầnMay Tiến PhátVND,Công ty TNHHThương TínTàu CuốcVND,Tổng cộngVND,numeric__Công ty Cổ phầnMay Tiến PhátVND,numeric__Công ty TNHHThương TínTàu CuốcVND,numeric__Tổng cộngVND
Tải sản thuần có thể xác định tại ngày mua thêm,Tải sản thuần có thể xác định tại ngày mua thêm,Tải sản thuần có thể xác định tại ngày mua thêm,356.527.395.443,294.760.914.191,651.288.309.634,356527395443.0,294760914191.0,651288309634.0
Phần tài sản thuần mua thêm,Phần tài sản thuần mua thêm,Phần tài sản thuần mua thêm,24.788.840.481,3.981.193.342,28.770.033.823,24788840481.0,3981193342.0,28770033823.0
Thay đổi trong lợi nhuận chưa phân phối phát sinh từ việc mua thêm bởi Tập đoàn (Thuyết minh 29),Thay đổi trong lợi nhuận chưa phân phối phát sinh từ việc mua thêm bởi Tập đoàn (Thuyết minh 29),Thay đổi trong lợi nhuận chưa phân phối phát sinh từ việc mua thêm bởi Tập đoàn (Thuyết minh 29),31.751.159.519,18.806.658,31.769.966.177,31751159519.0,18806658.0,31769966177.0
Tiền mặt thuần đã trả,Tiền mặt thuần đã trả,Tiền mặt thuần đã trả,56.540.000.000,4.000.000.000,60.540.000.000,56540000000.0,4000000000.0,60540000000.0
