row_label_raw,row_label_full,col_0,Kinh doanhquyền sử dụng đấtvà bắt động sảnVND,Bán vật liệuxây dựngVND,Loại trừVND,Hợp nhấtVND,numeric__Kinh doanhquyền sử dụng đấtvà bắt động sảnVND,numeric__Bán vật liệuxây dựngVND,numeric__Loại trừVND,numeric__Hợp nhấtVND
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,
Tải sản ngắn hạn,Tải sản > Tải sản ngắn hạn,Tải sản ngắn hạn,4.133.440.637.645,20.427.811.341,(138.951.165.382),4.014.917.283.604,4133440637645.0,20427811341.0,-138951165382.0,4014917283604.0
Tải sản dài hạn,Tải sản > Tải sản dài hạn,Tải sản dài hạn,2.297.077.185.172,-,(907.765.252.336),1.389.311.932.836,2297077185172.0,,-907765252336.0,1389311932836.0
,,,6.430.517.822.817,20.427.811.341,(1.046.716.417.718),5.404.229.216.440,6430517822817.0,20427811341.0,-1046716417718.0,5404229216440.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,1.634.748.717.949,710.896.785,(81.407.300.619),1.554.052.314.115,1634748717949.0,710896785.0,-81407300619.0,1554052314115.0
Nợ dài hạn,Nợ phải trả > Nợ dài hạn,Nợ dài hạn,1.507.821.111.654,-,25.602.552.342,1.533.423.663.996,1507821111654.0,,25602552342.0,1533423663996.0
,,,3.142.569.829.603,710.896.785,(55.804.748.277),3.087.475.978.111,3142569829603.0,710896785.0,-55804748277.0,3087475978111.0
Khấu hao và phân bổ,Nợ phải trả > Khấu hao và phân bổ,Khấu hao và phân bổ,48.305.236.198,-,-,48.305.236.198,48305236198.0,,,48305236198.0
Các khoản dự phòng,Nợ phải trả > Các khoản dự phòng,Các khoản dự phòng,17.049.909.520,-,(8.766.576.614),8.283.332.906,17049909520.0,,-8766576614.0,8283332906.0
Chi tiêu vốn,Nợ phải trả > Chi tiêu vốn,Chi tiêu vốn,6.572.978.782,-,-,6.572.978.782,6572978782.0,,,6572978782.0
