row_label_raw,row_label_full,col_0,Kinh doanh quyền sử dụng đất và bất động sản VND,Bán vật liệu xây dựng VND,Loại trừ VND,Hợp nhất VND,numeric__Kinh doanh quyền sử dụng đất và bất động sản VND,numeric__Bán vật liệu xây dựng VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,662.233.195.196,26.227.153.174,-,688.460.348.370,662233195196.0,26227153174.0,,688460348370.0
Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,19.882.315.730,-,(19.882.315.730),-,19882315730.0,,-19882315730.0,
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,682.115.510.926,26.227.153.174,(19.882.315.730),688.460.348.370,682115510926.0,26227153174.0,-19882315730.0,688460348370.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,555.949.449.628,26.218.893.965,(28.694.139.168),553.474.204.425,555949449628.0,26218893965.0,-28694139168.0,553474204425.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,126.166.061.298,8.259.209,8.811.823.438,134.986.143.945,126166061298.0,8259209.0,8811823438.0,134986143945.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,-,-,-,(185.819.137.141),,,,-185819137141.0
Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,-,-,-,(50.832.993.196),,,,-50832993196.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,-,-,-,275.607.965.576,,,,275607965576.0
Chi phí khác,Chi phí khác,Chi phí khác,-,-,-,(144.258.061.071),,,,-144258061071.0
Chia lỗ của từ các công ty liên kết,Chia lỗ của từ các công ty liên kết,Chia lỗ của từ các công ty liên kết,-,-,-,(24.107.716.849),,,,-24107716849.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,-,-,(27.376.982.785),,,,-27376982785.0
Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,-,-,-,29.032.211.675,,,,29032211675.0
