row_label_raw,row_label_full,col_0,1/1/2015(phân loại) > VND,1/1/2015(theo báo cáotrước đây)VND,numeric__1/1/2015(phân loại) > VND,numeric__1/1/2015(theo báo cáotrước đây)VND
Dự phòng giảm giá các khoản đầu tư ngắn hạn,Dự phòng giảm giá các khoản đầu tư ngắn hạn,Dự phòng giảm giá các khoản đầu tư ngắn hạn,-,(35.000.000.000),,-35000000000.0
Dự phòng giảm giá các khoản phải thu khó đòi,Dự phòng giảm giá các khoản phải thu khó đòi,Dự phòng giảm giá các khoản phải thu khó đòi,(71.351.796.558),(36.351.796.558),-71351796558.0,-36351796558.0
Các khoản đầu tư ngắn hạn,Các khoản đầu tư ngắn hạn,Các khoản đầu tư ngắn hạn,-,571.381.394.476,,571381394476.0
Các khoản đầu tư nằm giữ đến ngày đáo hạn,Các khoản đầu tư nằm giữ đến ngày đáo hạn,Các khoản đầu tư nằm giữ đến ngày đáo hạn,40.678.750.000,-,40678750000.0,
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,513.120.644.476,-,513120644476.0,
Phải thu khác,Phải thu khác,Phải thu khác,488.232.878.150,467.288.240.012,488232878150.0,467288240012.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,-,3.362.638.138,,3362638138.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,189.163.736,-,189163736.0,
Các khoản phải thu dài hạn khác,Các khoản phải thu dài hạn khác,Các khoản phải thu dài hạn khác,178.810.656.978,-,178810656978.0,
Đầu tư vốn vào các đơn vị khác,Đầu tư vốn vào các đơn vị khác,Đầu tư vốn vào các đơn vị khác,640.307.180.009,818.083.896.003,640307180009.0,818083896003.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,2.213.082.909,3.436.187.629,2213082909.0,3436187629.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,86.555.933.748,34.787.326.763,86555933748.0,34787326763.0
Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,-,51.560.032.450,,51560032450.0
