row_label_raw,row_label_full,col_0,1/1/2015(phân loại lại),1/1/2015(theo báo cáotrước đây),numeric__1/1/2015(phân loại lại),numeric__1/1/2015(theo báo cáotrước đây)
,,,VND,VND,,
Thu nhập khác,Thu nhập khác,Thu nhập khác,875.809.907,1.851.553.066,875809907.0,1851553066.0
Chi phí khác,Chi phí khác,Chi phí khác,-,975.743.159,,975743159.0
