row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Nhà cửa VND,Tổng VND,numeric__Quyền sử dụng đất VND,numeric__Nhà cửa VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,5.280.598.277,149.966.529.686,155.247.127.963,5280598277.0,149966529686.0,155247127963.0
Giảm do bán công ty con(Thuyết minh 7(a)),Nguyên giá > Giảm do bán công ty con(Thuyết minh 7(a)),Giảm do bán công ty con(Thuyết minh 7(a)),(5.280.598.277),(19.598.352.909),(24.878.951.186),-5280598277.0,-19598352909.0,-24878951186.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(5.173.609.659),(5.173.609.659),,-5173609659.0,-5173609659.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,-,125.194.567.118,125.194.567.118,,125194567118.0,125194567118.0
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,71.636.024,9.067.097.632,9.138.733.656,71636024.0,9067097632.0,9138733656.0
Khấu hao trong năm,Nguyên giá > Khấu hao trong năm,Khấu hao trong năm,-,3.123.714.768,3.123.714.768,,3123714768.0,3123714768.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(183.232.001),(183.232.001),,-183232001.0,-183232001.0
Giảm do bán công ty con(Thuyết minh 7(a)),Nguyên giá > Giảm do bán công ty con(Thuyết minh 7(a)),Giảm do bán công ty con(Thuyết minh 7(a)),(71.636.024),(555.159.262),(626.795.286),-71636024.0,-555159262.0,-626795286.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,-,11.452.421.137,11.452.421.137,,11452421137.0,11452421137.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,5.208.962.253,140.899.432.054,146.108.394.307,5208962253.0,140899432054.0,146108394307.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,-,113.742.145.981,113.742.145.981,,113742145981.0,113742145981.0
