row_label_raw,row_label_full,Ngày 1 tháng 1 năm 2015 > Khác,Ngày 1 tháng 1 năm 2015 > Khác_1,col_2,Số lượng,% lợi ích kinh tế,% quyền biểu quyết,Giá gốc VND,Dự phòng VND,Giá trị hợp lý VND,numeric__Ngày 1 tháng 1 năm 2015 > Khác_1,numeric__col_2,numeric__Số lượng,numeric__% lợi ích kinh tế,numeric__% quyền biểu quyết,numeric__Giá gốc VND,numeric__Dự phòng VND,numeric__Giá trị hợp lý VND
Công ty TNHH SX-XD-DV Hoa Đồng,Công ty TNHH SX-XD-DV Hoa Đồng,Công ty TNHH SX-XD-DV Hoa Đồng,"Đất Mới, Phường Bình Trị Đông A,Quận Bình Tân, Thành phố Hồ Chí Minh",-,(i),(i),200.000.000.000,,-,(*),,,,,200000000000.0,,,
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,"62 Trần Huy Liệu, Quận Phú Nhuận,Thành phố Hồ Chí Minh",4.500.000,"2,25%","2,25%",153.000.000.000,,-,(*),,4500000.0,0.0225,0.0225,153000000000.0,,,
Công ty Cổ phần Đầu tư Tín Việt,Công ty Cổ phần Đầu tư Tín Việt,Công ty Cổ phần Đầu tư Tín Việt,"262 Huỳnh Văn Bánh, Phường 11,Quận Phú Nhuận, Thành phố Hồ Chí Minh",3.201.781,"8,06%","8,06%",98.677.688.639,,-,(*),,3201781.0,0.0806,0.0806,98677688639.0,,,
Công ty Cổ phần Thành Ngọc,Công ty Cổ phần Thành Ngọc,Công ty Cổ phần Thành Ngọc,"05 Mai Đào Anh, Phường 8,Thành phố Đà Lạt, Tỉnh Lâm Đồng",3.190.788,"15,75%","15,75%",86.317.088.655,,-,(*),,3190788.0,0.1575,0.1575,86317088655.0,,,
Công ty Cổ phần Đầu tư Kiến trúcXây dựng Toàn Thịnh Phát,Công ty Cổ phần Đầu tư Kiến trúcXây dựng Toàn Thịnh Phát,Công ty Cổ phần Đầu tư Kiến trúcXây dựng Toàn Thịnh Phát,"55 Đường Võ Thị Sáu, Phường QuyếtThắng, Thành phố Biên Hòa, Tỉnh Đồng Nai",2.600.000,"6,24%","6,24%",39.000.000.000,,-,(*),,2600000.0,0.062400000000000004,0.062400000000000004,39000000000.0,,,
Công ty Cổ phần Phát triển và Quản lýKhu Công Nghiệp Đăng Huỳnh,Công ty Cổ phần Phát triển và Quản lýKhu Công Nghiệp Đăng Huỳnh,Công ty Cổ phần Phát triển và Quản lýKhu Công Nghiệp Đăng Huỳnh,"1185 Quốc lộ 1A, Áp 5,Phường Bình Trị Đông, Quận Bình Tân,Thành phố Hồ Chí Minh",1.445.000,"3,21%","3,21%",37.334.465.000,,-,(*),,1445000.0,0.0321,0.0321,37334465000.0,,,
Công ty Đầu tư và Địa ốc Sài Gòn Chợ Lớn,Công ty Đầu tư và Địa ốc Sài Gòn Chợ Lớn,Công ty Đầu tư và Địa ốc Sài Gòn Chợ Lớn,"22 Nguyễn Biểu, Phường 2, Quận 5,Thành phố Hồ Chí Minh",29.179,"12,69%","12,69%",3.367.140.000,,-,(*),,29179.0,0.12689999999999999,0.12689999999999999,3367140000.0,,,
Công ty Cổ phần Tàu Cuốc,Công ty Cổ phần Tàu Cuốc,Công ty Cổ phần Tàu Cuốc,"16/9 Bùi Văn Ba, Phường Tân Thuận Đông,Quận 7, Thành phố Hồ Chí Minh",76.400,"3,06%","3,06%",2.292.000.000,,-,(*),,76400.0,0.030600000000000002,0.030600000000000002,2292000000.0,,,
Công ty Cổ phần Địa ốc Sài GònThương Tín Tân Thắng,Công ty Cổ phần Địa ốc Sài GònThương Tín Tân Thắng,Công ty Cổ phần Địa ốc Sài GònThương Tín Tân Thắng,"Đường N1, Phường Sơn Kỳ,Quận Tân Phú, Thành phố Hồ Chí Minh",745.678,"0,59%","0,59%",8.523.140.715,,-,(*),,745678.0,0.0059,0.0059,8523140715.0,,,
Công ty Cổ phần Đầu tư và Xây dựngCông nghệ mới Đại Nam,Công ty Cổ phần Đầu tư và Xây dựngCông nghệ mới Đại Nam,Công ty Cổ phần Đầu tư và Xây dựngCông nghệ mới Đại Nam,"KCN Sống Thần 3, Xã Tân Vĩnh Hiệp,Huyện Tân Uyên, Tỉnh Bình Dương",100.000,"3,33%","3,33%",1.000.000.000,,-,(*),,100000.0,0.0333,0.0333,1000000000.0,,,
Công ty Cổ phần Bao bì Bia Sài Gòn,Công ty Cổ phần Bao bì Bia Sài Gòn,Công ty Cổ phần Bao bì Bia Sài Gòn,"Đường Số 2, Khu công nghiệp Tân ĐôngHiệp B, Thị xã Dĩ An, Tỉnh Bình Dương",192.000,"8,00%","8,00%",4.379.520.000,(292.314.586),,(*),,192000.0,0.08,0.08,4379520000.0,-292314586.0,,
Công ty Cổ phần Đầu tư Xây dựng Idico –Long An (Thuyết minh 1(d)(vi)),Công ty Cổ phần Đầu tư Xây dựng Idico –Long An (Thuyết minh 1(d)(vi)),Công ty Cổ phần Đầu tư Xây dựng Idico –Long An (Thuyết minh 1(d)(vi)),"544 Quốc lộ 1, Xã 4, Thị trấn Tân An,Tỉnh Long An",480.681,"5,62%","5,62%",6.416.137.000,,-,(*),,480681.0,0.0562,0.0562,6416137000.0,,,
,,,,,,,640.307.180.009,(292.314.586),,,,,,,640307180009.0,-292314586.0,,
,,,,,,,798.175.829.754,(292.314.586),,,,,,,798175829754.0,-292314586.0,,
