row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,9.001.957.895,5.313.167.424,5.845.911.270,7.058.983.609,27.220.020.198,9001957895.0,5313167424.0,5845911270.0,7058983609.0,27220020198.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,249.090.909,-,-,127.427.273,376.518.182,249090909.0,,,127427273.0,376518182.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(671.097.237),-,(671.097.237),,,-671097237.0,,-671097237.0
Giảm từ việc bán công ty con (Thuyết minh 7(a)),Nguyên giá > Giảm từ việc bán công ty con (Thuyết minh 7(a)),Giảm từ việc bán công ty con (Thuyết minh 7(a)),-,-,-,(83.902.100),(83.902.100),,,,-83902100.0,-83902100.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,9.251.048.804,5.313.167.424,5.174.814.033,7.102.508.782,26.841.539.043,9251048804.0,5313167424.0,5174814033.0,7102508782.0,26841539043.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,7.953.304.028,5.266.598.366,5.497.608.712,5.266.181.253,23.983.692.359,7953304028.0,5266598366.0,5497608712.0,5266181253.0,23983692359.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,133.882.584,46.569.058,195.709.742,525.893.576,902.054.960,133882584.0,46569058.0,195709742.0,525893576.0,902054960.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(518.504.421),-,(518.504.421),,,-518504421.0,,-518504421.0
Giảm từ việc bán công ty con (Thuyết minh 7(a)),Giá trị hao mòn lũy kế > Giảm từ việc bán công ty con (Thuyết minh 7(a)),Giảm từ việc bán công ty con (Thuyết minh 7(a)),-,-,-,(83.902.100),(83.902.100),,,,-83902100.0,-83902100.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,8.087.186.612,5.313.167.424,5.174.814.033,5.708.172.729,24.283.340.798,8087186612.0,5313167424.0,5174814033.0,5708172729.0,24283340798.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.048.653.867,46.569.058,348.302.558,1.792.802.356,3.236.327.839,1048653867.0,46569058.0,348302558.0,1792802356.0,3236327839.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.163.862.192,-,-,1.394.336.053,2.558.198.245,1163862192.0,,,1394336053.0,2558198245.0
