row_label_raw,row_label_full,col_0,2015VND,numeric__2015VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,323.180.471.803,323180471803.0
Giảm do thanh lý công ty con (Thuyết minh 7(a)),Nguyên giá > Giảm do thanh lý công ty con (Thuyết minh 7(a)),Giảm do thanh lý công ty con (Thuyết minh 7(a)),(303.680.094.728),-303680094728.0
Giảm do thanh lý một phần các công ty con (Thuyết minh 7(b)),Nguyên giá > Giảm do thanh lý một phần các công ty con (Thuyết minh 7(b)),Giảm do thanh lý một phần các công ty con (Thuyết minh 7(b)),(442.662.421),-442662421.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,19.057.714.654,19057714654.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,75.923.392.062,75923392062.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,14.443.366.563,14443366563.0
Giảm do thanh lý công ty con (Thuyết minh 7(a)),Giá trị hao mòn lũy kế > Giảm do thanh lý công ty con (Thuyết minh 7(a)),Giảm do thanh lý công ty con (Thuyết minh 7(a)),(85.420.031.376),-85420031376.0
Giảm do thanh lý một phần các công ty con (Thuyết minh 7(b)),Giá trị hao mòn lũy kế > Giảm do thanh lý một phần các công ty con (Thuyết minh 7(b)),Giảm do thanh lý một phần các công ty con (Thuyết minh 7(b)),(243.464.332),-243464332.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.703.262.917,4703262917.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,247.257.079.741,247257079741.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,14.354.451.737,14354451737.0
