row_label_raw,row_label_full,col_0,1/1/2015VND,Số phải nộp trong năm VND,Số đã nộp trong năm VND,Cán trừ VND,Giảm do bán công ty con (Thuyết minh 7(a)) VND,31/12/2015VND,numeric__1/1/2015VND,numeric__Số phải nộp trong năm VND,numeric__Số đã nộp trong năm VND,numeric__Cán trừ VND,numeric__Giảm do bán công ty con (Thuyết minh 7(a)) VND,numeric__31/12/2015VND
Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,,,,,,
Thuế giá trị gia tăng,Thuế > Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.077.932.581,47.888.461.735,(9.396.201.974),(30.770.904.885),-,8.799.287.457,1077932581.0,47888461735.0,-9396201974.0,-30770904885.0,,8799287457.0
Thuế thu nhập doanh nghiệp,Thuế > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,17.455.147.282,20.725.700.753,(28.441.381.889),-,-,9.739.466.146,17455147282.0,20725700753.0,-28441381889.0,,,9739466146.0
Thuế thu nhập cá nhân,Thuế > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,929.191.469,17.918.563.803,(15.794.826.217),-,(1.726.252),3.051.202.803,929191469.0,17918563803.0,-15794826217.0,,-1726252.0,3051202803.0
Thuế khác,Thuế > Thuế khác,Thuế khác,85.325.847.121,13.308.359.773,(88.428.475.990),-,-,10.205.730.904,85325847121.0,13308359773.0,-88428475990.0,,,10205730904.0
,,,104.788.118.453,99.841.086.064,(142.060.886.070),(30.770.904.885),(1.726.252),31.795.687.310,104788118453.0,99841086064.0,-142060886070.0,-30770904885.0,-1726252.0,31795687310.0
(b) Thuế và các khoản khác phải thu Nhà nước,(b) Thuế và các khoản khác phải thu Nhà nước,(b) Thuế và các khoản khác phải thu Nhà nước,(b) Thuế và các khoản khác phải thu Nhà nước,(b) Thuế và các khoản khác phải thu Nhà nước,(b) Thuế và các khoản khác phải thu Nhà nước,(b) Thuế và các khoản khác phải thu Nhà nước,(b) Thuế và các khoản khác phải thu Nhà nước,(b) Thuế và các khoản khác phải thu Nhà nước,,,,,,
,,,1/1/2015VND,Số đã nộp trong năm VND,Số đã được hoàn trả lại trong năm VND,Cán trừ VND,Giảm do bán công ty con (Thuyết minh 7(a)) VND,31/12/2015VND,,,,,,
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,,,,,,
Thuế thu nhập doanh nghiệp,Thuế và các khoản khác phải thu Nhà nước > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,11.610.391.017,1.409.160.953,(1.229.893.466),-,(53.149.883),11.736.508.621,11610391017.0,1409160953.0,-1229893466.0,,-53149883.0,11736508621.0
