row_label_raw,row_label_full,Giấy Chứng nhậnĐăng ký Kinh doanh số > Hội đồng Quản trị,"4103002210 > Giấy chứng nhận đăng ký kinh doanh của Công ty đã được điều chỉnh nhiều lần, lần điều chỉnh gần đây nhất là giấy chứng nhận đăng ký kinh doanh số 0303315400 ngày 18 tháng 11 năm 2015. Giấy chứng nhận Đăng ký Kinh doanh và các Giấy chứng nhận điều chỉnh do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp. > Phạm Nhật Vinh > Đặng Hồng Anh","ngày 29 tháng 3 năm 2004 > Giấy chứng nhận đăng ký kinh doanh của Công ty đã được điều chỉnh nhiều lần, lần điều chỉnh gần đây nhất là giấy chứng nhận đăng ký kinh doanh số 0303315400 ngày 18 tháng 11 năm 2015. Giấy chứng nhận Đăng ký Kinh doanh và các Giấy chứng nhận điều chỉnh do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp. > Chủ tịch(từ ngày 26 tháng 4 năm 2015) > Chủ tịch(dền ngày 26 tháng 4 năm 2015)","numeric__4103002210 > Giấy chứng nhận đăng ký kinh doanh của Công ty đã được điều chỉnh nhiều lần, lần điều chỉnh gần đây nhất là giấy chứng nhận đăng ký kinh doanh số 0303315400 ngày 18 tháng 11 năm 2015. Giấy chứng nhận Đăng ký Kinh doanh và các Giấy chứng nhận điều chỉnh do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp. > Phạm Nhật Vinh > Đặng Hồng Anh","numeric__ngày 29 tháng 3 năm 2004 > Giấy chứng nhận đăng ký kinh doanh của Công ty đã được điều chỉnh nhiều lần, lần điều chỉnh gần đây nhất là giấy chứng nhận đăng ký kinh doanh số 0303315400 ngày 18 tháng 11 năm 2015. Giấy chứng nhận Đăng ký Kinh doanh và các Giấy chứng nhận điều chỉnh do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp. > Chủ tịch(từ ngày 26 tháng 4 năm 2015) > Chủ tịch(dền ngày 26 tháng 4 năm 2015)"
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Huỳnh Bích Ngọc,Phó Chủ tịch,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Huỳnh Phú Kiệt,Phó Chủ tịch,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Nguyễn Thế Vinh,Thành viên,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Phạm Điền Trung,Thành viên(từ ngày 17 tháng 4 năm 2015),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Tôn Thị Nhật Giang,Thành viên(dền ngày 17 tháng 4 năm 2015),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Phạm Nhật Vinh,Thành viên(dền ngày 26 tháng 4 năm 2015),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Phạm Điền Trung,Tổng Giám đốc(từ ngày 14 tháng 3 năm 2016),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Phạm Nhật Vinh,Tổng Giám đốc(dền ngày 14 tháng 3 năm 2016),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Nguyễn Thị Đã,Phó Tổng Giám đốc(từ ngày 18 tháng 5 năm 2015),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Tạ Đình Chương,Phó Tổng Giám đốc(dền ngày 29 tháng 5 năm 2015),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Bùi Tiến Thắng,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Nguyễn Ngọc Thục,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Hồ Hữu Nhân,Phó Tổng Giám đốc(từ ngày 1 tháng 6 năm 2015),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Nguyễn Sinh Mỹ,Phó Tổng Giám đốc(từ ngày 10 tháng 12 năm 2015),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Phan Tấn Quốc,Phó Tổng Giám đốc(dền ngày 18 tháng 5 năm 2015),,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Lâm Minh Châu,Trường Ban Kiểm soát,,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Đoàn Thanh Việt,Thành viên,,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Trần Mỹ Phân,Thành viên,,
Trụ sở đăng ký,Trụ sở đăng ký,Trụ sở đăng ký,278 Nam Kỳ Khởi Nghĩa,,,
Trụ sở đăng ký,Trụ sở đăng ký,Trụ sở đăng ký,"Phường 8, Quận 3",,,
Trụ sở đăng ký,Trụ sở đăng ký,Trụ sở đăng ký,Thành phố Hồ Chí Minh,,,
Trụ sở đăng ký,Trụ sở đăng ký,Trụ sở đăng ký,Việt Nam,,,
Công ty kiểm toán,Công ty kiểm toán,Công ty kiểm toán,Công ty TNHH KPMG,,,
Công ty kiểm toán,Công ty kiểm toán,Công ty kiểm toán,Việt Nam,,,
