row_label_raw,row_label_full,Tên,Chức vụ,Năm nay,Năm trước,numeric__Chức vụ,numeric__Năm nay,numeric__Năm trước
,,,,VND,VND,,,
Ông Hoàng Trọng Dũng,Ông Hoàng Trọng Dũng,Ông Hoàng Trọng Dũng,Chủ tịch HĐQT(miễn nhiệm ngày 27 tháng 10 năm 2023),1.856.544.776,1.738.033.235,,1856544776.0,1738033235.0
Ông Hoàng Trọng Dũng,Ông Hoàng Trọng Dũng,Ông Hoàng Trọng Dũng,Thành viên HĐQT,,,,,
Ông Nguyễn Ngọc Anh,Ông Hoàng Trọng Dũng > Ông Nguyễn Ngọc Anh,Ông Nguyễn Ngọc Anh,Thành viên phụ trách Hội đồng Quản trị(bổ nhiệm ngày 27 tháng 10 năm 2023),109.481.454,-,,109481454.0,
Ông Nguyễn Ngọc Anh,Ông Nguyễn Ngọc Anh,Ông Nguyễn Ngọc Anh,Thành viên HĐQT(bổ nhiệm ngày 27 tháng 6 năm 2023),,,,,
Ông Dương Trí Hội,Ông Nguyễn Ngọc Anh > Ông Dương Trí Hội,Ông Dương Trí Hội,Thành viên HĐQT,1.733.053.857,1.740.705.755,,1733053857.0,1740705755.0
Ông Trịnh Văn Khiêm,Ông Nguyễn Ngọc Anh > Ông Trịnh Văn Khiêm,Ông Trịnh Văn Khiêm,Thành viên HĐQT,1.642.081.715,1.582.343.345,,1642081715.0,1582343345.0
Ông Hồ Quyết Thắng,Ông Nguyễn Ngọc Anh > Ông Hồ Quyết Thắng,Ông Hồ Quyết Thắng,Thành viên độc lập(bổ nhiệm ngày 27 tháng 6 năm 2023),608.951.838,-,,608951838.0,
Ông Lê Cự Tân,Ông Nguyễn Ngọc Anh > Ông Lê Cự Tân,Ông Lê Cự Tân,Thành viên HĐQT(miễn nhiệm ngày 27 tháng 6 năm 2023)Tổng Giám đốc(miễn nhiệm ngày 27 tháng 10 năm 2023),1.889.993.078,2.003.173.733,,1889993078.0,2003173733.0
Ông Louis T.Nguyen,Ông Nguyễn Ngọc Anh > Ông Louis T.Nguyen,Ông Louis T.Nguyen,Thành viên HĐQT độc lập(miễn nhiệm ngày 27 tháng 6 năm 2023),280.456.480,192.000.000,,280456480.0,192000000.0
Ông Đào Văn Ngọc,Ông Nguyễn Ngọc Anh > Ông Đào Văn Ngọc,Ông Đào Văn Ngọc,Phó Tổng Giám đốc phụ trách Ban điều hànhTổng Công ty (bổ nhiệm ngày 27 tháng 10 năm2023 và miễn nhiệm ngày 25 tháng 01 năm2024)Phó Tổng Giám đốc,1.596.384.952,1.598.276.612,,1596384952.0,1598276612.0
Ông Cao Trung Kiên,Ông Nguyễn Ngọc Anh > Ông Cao Trung Kiên,Ông Cao Trung Kiên,Phó Tổng Giám đốc,1.671.906.909,1.632.079.997,,1671906909.0,1632079997.0
Bà Trần Thị Phương Thảo,Ông Nguyễn Ngọc Anh > Bà Trần Thị Phương Thảo,Bà Trần Thị Phương Thảo,Phó Tổng Giám đốc,1.733.053.856,1.740.705.755,,1733053856.0,1740705755.0
Ông Tạ Quang Huy,Ông Nguyễn Ngọc Anh > Ông Tạ Quang Huy,Ông Tạ Quang Huy,Phó Tổng Giám đốc,1.565.965.524,1.447.297.476,,1565965524.0,1447297476.0
