row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp/phân loại lại trong năm,Số đã thực nộp trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp/phân loại lại trong năm,numeric__Số đã thực nộp trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế thu nhập doanh nghiệp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,-,35.961.294.531,35.961.294.531,,,35961294531.0,35961294531.0
Thuế thu nhập doanh nghiệp tại chi nhánh Campuchia (*),a. Các khoản phải thu > Thuế thu nhập doanh nghiệp tại chi nhánh Campuchia (*),Thuế thu nhập doanh nghiệp tại chi nhánh Campuchia (*),3.152.818.774,3.152.818.774,-,-,3152818774.0,3152818774.0,,
Thuế thu nhập cá nhân,a. Các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,-,1.569.317.521,1.569.317.521,,,1569317521.0,1569317521.0
"Thuế xuất, nhập khẩu","a. Các khoản phải thu > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",15.482.225,15.482.225,-,-,15482225.0,15482225.0,,
Các loại thuế khác,a. Các khoản phải thu > Các loại thuế khác,Các loại thuế khác,98.916.250,98.916.250,-,-,98916250.0,98916250.0,,
,,,3.267.217.249,3.267.217.249,37.530.612.052,37.530.612.052,3267217249.0,3267217249.0,37530612052.0,37530612052.0
b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,,,,
Thuế giá trị gia tăng,b. Các khoản phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,4.085.930.809,41.803.627.608,44.886.138.091,1.003.420.326,4085930809.0,41803627608.0,44886138091.0,1003420326.0
- Thuế GTGT hàng bán nội địa,b. Các khoản phải nộp > - Thuế GTGT hàng bán nội địa,- Thuế GTGT hàng bán nội địa,4.085.930.809,17.491.508.573,20.574.019.056,1.003.420.326,4085930809.0,17491508573.0,20574019056.0,1003420326.0
- Thuế GTGT hàng nhập khẩu,b. Các khoản phải nộp > - Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,-,24.312.119.035,24.312.119.035,-,,24312119035.0,24312119035.0,
"Thuế xuất, nhập khẩu","b. Các khoản phải nộp > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,53.271.429.935,53.271.429.935,-,,53271429935.0,53271429935.0,
Thuế thu nhập doanh nghiệp,b. Các khoản phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,275.380.338.473,24.328.423.358,299.708.761.831,-,275380338473.0,24328423358.0,299708761831.0,
Thuế thu nhập cá nhân,b. Các khoản phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,11.751.054.996,86.202.203.260,95.778.176.151,2.175.082.105,11751054996.0,86202203260.0,95778176151.0,2175082105.0
Thuế tài nguyên,b. Các khoản phải nộp > Thuế tài nguyên,Thuế tài nguyên,340.440.480,3.536.188.440,3.546.177.720,330.451.200,340440480.0,3536188440.0,3546177720.0,330451200.0
Thuế bảo vệ môi trường và các loại thuế khác,b. Các khoản phải nộp > Thuế bảo vệ môi trường và các loại thuế khác,Thuế bảo vệ môi trường và các loại thuế khác,107.573.001,5.756.098.607,5.743.908.007,119.763.601,107573001.0,5756098607.0,5743908007.0,119763601.0
- Thuế bảo vệ môi trường,b. Các khoản phải nộp > - Thuế bảo vệ môi trường,- Thuế bảo vệ môi trường,107.573.001,424.358.900,412.168.300,119.763.601,107573001.0,424358900.0,412168300.0,119763601.0
- Thuế nhà đất và tiền thuê đất,b. Các khoản phải nộp > - Thuế nhà đất và tiền thuê đất,- Thuế nhà đất và tiền thuê đất,-,3.767.508.427,3.767.508.427,-,,3767508427.0,3767508427.0,
- Các loại thuế khác,b. Các khoản phải nộp > - Các loại thuế khác,- Các loại thuế khác,-,1.564.231.280,1.564.231.280,-,,1564231280.0,1564231280.0,
,,,291.665.337.759,214.897.971.208,502.934.591.735,3.628.717.232,291665337759.0,214897971208.0,502934591735.0,3628717232.0
