row_label_raw,row_label_full,col_0,Số năm,numeric__Số năm
Quyền sử dụng đất có thời hạn,Quyền sử dụng đất có thời hạn,Quyền sử dụng đất có thời hạn,50,50.0
Nhà cửa và vật kiến trúc,Nhà cửa và vật kiến trúc,Nhà cửa và vật kiến trúc,7 - 25,
