row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > VNDGiá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > VNDGiá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > VNDGiá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > VNDGiá trị hợp lý
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,,,,,,
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc (i),Đầu tư vào công ty con > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc (i),Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc (i),90.000.000.000,-,88.200.000.000,90.000.000.000,-,99.900.000.000,90000000000.0,,88200000000.0,90000000000.0,,99900000000.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung (i),Đầu tư vào công ty con > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung (i),Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung (i),75.000.000.000,-,148.500.000.000,75.000.000.000,-,179.250.000.000,75000000000.0,,148500000000.0,75000000000.0,,179250000000.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ (i),Đầu tư vào công ty con > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ (i),Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ (i),93.750.000.000,-,96.562.500.000,93.750.000.000,-,105.937.500.000,93750000000.0,,96562500000.0,93750000000.0,,105937500000.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ (i),Đầu tư vào công ty con > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ (i),Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ (i),127.500.000.000,-,102.000.000.000,127.500.000.000,-,102.000.000.000,127500000000.0,,102000000000.0,127500000000.0,,102000000000.0
,,,386.250.000.000,-,435.262.500.000,386.250.000.000,-,487.087.500.000,386250000000.0,,435262500000.0,386250000000.0,,487087500000.0
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,,
Công ty Cổ phần Phát triển Đô thị Dầu khí,Đầu tư vào công ty liên kết > Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,100.000.000.000,(100.000.000.000),(ii),100.000.000.000,(100.000.000.000),(ii),100000000000.0,-100000000000.0,,100000000000.0,-100000000000.0,
Công ty Cổ phần Hóa đầu và Xơ sợi Việt Nam,Đầu tư vào công ty liên kết > Công ty Cổ phần Hóa đầu và Xơ sợi Việt Nam,Công ty Cổ phần Hóa đầu và Xơ sợi Việt Nam,562.700.000.000,(562.700.000.000),(ii),562.700.000.000,(562.700.000.000),(ii),562700000000.0,-562700000000.0,,562700000000.0,-562700000000.0,
Công ty Cổ phần Bao bì Đạm Phú Mỹ (i),Đầu tư vào công ty liên kết > Công ty Cổ phần Bao bì Đạm Phú Mỹ (i),Công ty Cổ phần Bao bì Đạm Phú Mỹ (i),18.203.000.000,-,22.571.720.000,18.203.000.000,-,21.843.600.000,18203000000.0,,22571720000.0,18203000000.0,,21843600000.0
,,,680.903.000.000,(662.700.000.000),22.571.720.000,680.903.000.000,(662.700.000.000),21.843.600.000,680903000000.0,-662700000000.0,22571720000.0,680903000000.0,-662700000000.0,21843600000.0
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,,,,,,
"Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu khí","Đầu tư vào đơn vị khác > Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu khí","Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu khí",3.600.000.000,-,(ii),3.600.000.000,-,(ii),3600000000.0,,,3600000000.0,,
Công ty Cổ phần Chế biến Thủy sản Út Xi,Đầu tư vào đơn vị khác > Công ty Cổ phần Chế biến Thủy sản Út Xi,Công ty Cổ phần Chế biến Thủy sản Út Xi,16.902.000.000,(16.902.000.000),(ii),16.902.000.000,(8.013.375.369),(ii),16902000000.0,-16902000000.0,,16902000000.0,-8013375369.0,
,,,20.502.000.000,(16.902.000.000),,20.502.000.000,(8.013.375.369),,20502000000.0,-16902000000.0,,20502000000.0,-8013375369.0,
