row_label_raw,row_label_full,Ông Huỳnh Kim Nhân,Trường ban kiểm soát,numeric__Trường ban kiểm soát
Ông Lương Phương,Ông Lương Phương,Ông Lương Phương,Thành viên,
Bà Trần Thị Phượng,Bà Trần Thị Phượng,Bà Trần Thị Phượng,Thành viên (bổ nhiệm ngày 27 tháng 6 năm 2023),
Ông Lê Vinh Văn,Ông Lê Vinh Văn,Ông Lê Vinh Văn,Thành viên (miễn nhiệm ngày 27 tháng 6 năm 2023),
