row_label_raw,row_label_full,col_0,Số lượng cổ phiếu,Số lượng cổ phiếu_1,numeric__Số lượng cổ phiếu,numeric__Số lượng cổ phiếu_1
,,,Số cuối năm,Số đầu năm,,
Cổ phiếu đã đăng ký phát hành,Cổ phiếu đã đăng ký phát hành,Cổ phiếu đã đăng ký phát hành,Cổ phiếu đã đăng ký phát hành,Cổ phiếu đã đăng ký phát hành,,
Cổ phiếu đã phát hành và được góp vốn đầy đủ,Cổ phiếu đã phát hành và được góp vốn đầy đủ,Cổ phiếu đã phát hành và được góp vốn đầy đủ,Cổ phiếu đã phát hành và được góp vốn đầy đủ,Cổ phiếu đã phát hành và được góp vốn đầy đủ,,
Cổ phiếu phổ thông,Cổ phiếu đã phát hành và được góp vốn đầy đủ > Cổ phiếu phổ thông,Cổ phiếu phổ thông,311.198.302,311.198.302,311198302.0,311198302.0
Cổ phiếu ưu đãi (*),Cổ phiếu đã phát hành và được góp vốn đầy đủ > Cổ phiếu ưu đãi (*),Cổ phiếu ưu đãi (*),100.000.000,-,100000000.0,
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,,
Cổ phiếu phổ thông,Cổ phiếu quỹ > Cổ phiếu phổ thông,Cổ phiếu phổ thông,(15.815),(3.745.328),-15815.0,-3745328.0
Cổ phiếu đang lưu hành,Cổ phiếu đang lưu hành,Cổ phiếu đang lưu hành,Cổ phiếu đang lưu hành,Cổ phiếu đang lưu hành,,
Cổ phiếu phổ thông,Cổ phiếu đang lưu hành > Cổ phiếu phổ thông,Cổ phiếu phổ thông,311.182.487,307.452.974,311182487.0,307452974.0
Cổ phiếu ưu đãi (*),Cổ phiếu đang lưu hành > Cổ phiếu ưu đãi (*),Cổ phiếu ưu đãi (*),100.000.000,-,100000000.0,
