row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúc,Máy móc vàthiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,VNDTổng cộng,numeric__Nhà cửa vàvật kiến trúc,numeric__Máy móc vàthiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,119.670.125.270,269.430.976.908,10.376.514.437,6.306.909.761,405.784.526.376,119670125270.0,269430976908.0,10376514437.0,6306909761.0,405784526376.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,,32.086.228.186,170.486.560,-,32.256.714.746,,32086228186.0,170486560.0,,32256714746.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,12.375.631.695,6.227.961.178,-,-,18.603.592.873,12375631695.0,6227961178.0,,,18603592873.0
Thanh lý và xóa số,Nguyên giá: > Thanh lý và xóa số,Thanh lý và xóa số,(170.945.000),(74.367.932.609),(679.173.000),-,(75.218.050.609),-170945000.0,-74367932609.0,-679173000.0,,-75218050609.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,131.874.811.965,233.377.233.663,9.867.827.997,6.306.909.761,381.426.783.386,131874811965.0,233377233663.0,9867827997.0,6306909761.0,381426783386.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,8.135.873.578,46.873.342.248,4.276.991.393,350.789.773,59.636.996.992,8135873578.0,46873342248.0,4276991393.0,350789773.0,59636996992.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(35.384.735.129),(158.639.464.374),(9.233.749.327),(3.350.826.059),(206.608.774.889),-35384735129.0,-158639464374.0,-9233749327.0,-3350826059.0,-206608774889.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,(6.360.817.745),(14.693.742.406),(260.402.729),(675.081.726),(21.990.044.606),-6360817745.0,-14693742406.0,-260402729.0,-675081726.0,-21990044606.0
Thanh lý và xóa số,Giá trị khấu hao lũy kế: > Thanh lý và xóa số,Thanh lý và xóa số,170.945.000,34.815.302.499,679.173.000,-,35.665.420.499,170945000.0,34815302499.0,679173000.0,,35665420499.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(41.574.607.874),(138.517.904.281),(8.814.979.056),(4.025.907.785),(192.933.398.996),-41574607874.0,-138517904281.0,-8814979056.0,-4025907785.0,-192933398996.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,84.285.390.141,110.791.512.534,1.142.765.110,2.956.083.702,199.175.751.487,84285390141.0,110791512534.0,1142765110.0,2956083702.0,199175751487.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,90.300.204.091,94.859.329.382,1.052.848.941,2.281.001.976,188.493.384.390,90300204091.0,94859329382.0,1052848941.0,2281001976.0,188493384390.0
