row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
Công ty Cổ phần Trường Thành,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Công ty con,Bán hàng,144.852.977.933,149.402.973.167,,,144852977933.0,149402973167.0
Công ty Cổ phần Chế biến Gỗ Trường Thành,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty con,Bán hàng,18.022.204.081,23.606.094.988,,,18022204081.0,23606094988.0
Công ty Cổ phần Đồ gỗ Casadora,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Đồ gỗ Casadora,Công ty Cổ phần Đồ gỗ Casadora,Công ty con,Bán hàng,5.267.168.169,3.003.419.960,,,5267168169.0,3003419960.0
Công ty Cổ phần Trồng rừng Trường Thành,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Trồng rừng Trường Thành,Công ty Cổ phần Trồng rừng Trường Thành,Công ty con,Bán hàng,266.625.800,266.625.800,,,266625800.0,266625800.0
Trường Thành M'Drắk,Phải thu ngắn hạn của khách hàng > Trường Thành M'Drắk,Trường Thành M'Drắk,Công ty con (đến ngày 9 tháng 8 năm 2021) (i),Bán hàng,-,11.255.207.357,,,,11255207357.0
"Công ty Cổ phần Vật liệu Xây dựng Trường Thành – Phước An (""Trường Thành Phước An"")","Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Vật liệu Xây dựng Trường Thành – Phước An (""Trường Thành Phước An"")","Công ty Cổ phần Vật liệu Xây dựng Trường Thành – Phước An (""Trường Thành Phước An"")",Công ty con (đến ngày 9 tháng 8 năm 2021) (ii),Bán hàng,-,1.592.246.302,,,,1592246302.0
,,,,,168.408.975.983,189.126.567.574,,,168408975983.0,189126567574.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,,
Công ty Cổ phần Chế biến Gỗ Trường Thành,Trả trước cho người bán ngắn hạn > Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty con,Mua nguyên liệu,750.551.266,-,,,750551266.0,
Công ty TNHH MTV Sử Thiên Thanh,Trả trước cho người bán ngắn hạn > Công ty TNHH MTV Sử Thiên Thanh,Công ty TNHH MTV Sử Thiên Thanh,Công ty con,Mua nguyên liệu,27.072.000,-,,,27072000.0,
Công ty Cổ phần Trường Thành,Trả trước cho người bán ngắn hạn > Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Công ty con,Mua nguyên liệu,13.785.520,-,,,13785520.0,
Công ty Cổ phần Đồ gỗ Casadora,Trả trước cho người bán ngắn hạn > Công ty Cổ phần Đồ gỗ Casadora,Công ty Cổ phần Đồ gỗ Casadora,Công ty con,Mua nguyên liệu,-,5.424.495.815,,,,5424495815.0
,,,,,791.408.786,5.424.495.815,,,791408786.0,5424495815.0
