row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lỗ lũy kế,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lỗ lũy kế,numeric__Tổng cộng
Số đầu năm,Số đầu năm,Số đầu năm,3.111.983.020.000,(556.775.630.846),(552.965.000),16.176.475.297,(3.055.243.251.944),(484.412.352.493),3111983020000.0,-556775630846.0,-552965000.0,16176475297.0,-3055243251944.0,-484412352493.0
Phát hành cổ phiếu quỹ,Phát hành cổ phiếu quỹ,Phát hành cổ phiếu quỹ,-,27.458.923.936,23.746.974.660,-,-,51.205.898.596,,27458923936.0,23746974660.0,,,51205898596.0
Nhận bồi thường bằng cổ phiếu,Nhận bồi thường bằng cổ phiếu,Nhận bồi thường bằng cổ phiếu,-,-,(33.704.774.370),-,-,(33.704.774.370),,,-33704774370.0,,,-33704774370.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,5.614.171.829,5.614.171.829,,,,,5614171829.0,5614171829.0
Số cuối năm,Số cuối năm,Số cuối năm,3.111.983.020.000,(529.316.706.910),(10.510.764.710),16.176.475.297,(3.049.629.080.115),(461.297.056.438),3111983020000.0,-529316706910.0,-10510764710.0,16176475297.0,-3049629080115.0,-461297056438.0
Số đầu năm,Số đầu năm,Số đầu năm,3.111.983.020.000,(529.316.706.910),(10.510.764.710),16.176.475.297,(3.049.629.080.115),(461.297.056.438),3111983020000.0,-529316706910.0,-10510764710.0,16176475297.0,-3049629080115.0,-461297056438.0
Tái phát hành cổ phiếu quỹ (*),Tái phát hành cổ phiếu quỹ (*),Tái phát hành cổ phiếu quỹ (*),-,11.605.200.290,9.957.799.710,-,-,21.563.000.000,,11605200290.0,9957799710.0,,,21563000000.0
Phát hành cổ phiếu ưu đãi (**),Phát hành cổ phiếu ưu đãi (**),Phát hành cổ phiếu ưu đãi (**),594.657.630.000,-,-,-,-,594.657.630.000,594657630000.0,,,,,594657630000.0
Chuyển đổi khoản vay thành vốn (**),Chuyển đổi khoản vay thành vốn (**),Chuyển đổi khoản vay thành vốn (**),405.342.370.000,-,-,-,-,405.342.370.000,405342370000.0,,,,,405342370000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,15.537.482.574,15.537.482.574,,,,,15537482574.0,15537482574.0
Số cuối năm,Số cuối năm,Số cuối năm,4.111.983.020.000,(517.711.506.620),(552.965.000),16.176.475.297,(3.034.091.597.541),575.803.426.136,4111983020000.0,-517711506620.0,-552965000.0,16176475297.0,-3034091597541.0,575803426136.0
