row_label_raw,row_label_full,col_0,Phần mềm máy tính,Khác,VND Tổng cộng,numeric__Phần mềm máy tính,numeric__Khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,18.046.564.295,212.259.011,18.258.823.306,18046564295.0,212259011.0,18258823306.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,984.800.000,-,984.800.000,984800000.0,,984800000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,19.031.364.295,212.259.011,19.243.623.306,19031364295.0,212259011.0,19243623306.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã hao mòn hết,Trong đó: > Đã hao mòn hết,Đã hao mòn hết,791.345.950,157.259.011,948.604.961,791345950.0,157259011.0,948604961.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(5.337.347.121),(160.625.131),(5.497.972.252),-5337347121.0,-160625131.0,-5497972252.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(1.460.288.066),(11.001.965),(1.471.290.031),-1460288066.0,-11001965.0,-1471290031.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(6.797.635.187),(171.627.096),(6.969.262.283),-6797635187.0,-171627096.0,-6969262283.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,12.709.217.174,51.633.880,12.760.851.054,12709217174.0,51633880.0,12760851054.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,12.233.729.108,40.631.915,12.274.361.023,12233729108.0,40631915.0,12274361023.0
