row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Năm nay,VND Năm trước,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Năm nay,numeric__VND Năm trước
Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty con,"Mua nguyên liệu, hàng hóa",11.967.169.555,26.147.597.595,,,11967169555.0,26147597595.0
Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty con,Bán nguyên liệu,1.424.712.394,6.361.737.980,,,1424712394.0,6361737980.0
Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty con,Cung cấp dịch vụ,10.305.000,238.543.000,,,10305000.0,238543000.0
Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty con,Sử dụng dịch vụ,-,1.309.919.522,,,,1309919522.0
Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty con,Bán TSCĐ,-,719.197.602,,,,719197602.0
Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Công ty con,Mua nguyên liệu,4.352.524.640,8.144.245.920,,,4352524640.0,8144245920.0
Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Công ty con,Bán nguyên liệu,144.735.847,18.730.609,,,144735847.0,18730609.0
Công ty Cổ phần Sử Thiên Thanh,Công ty Cổ phần Sử Thiên Thanh,Công ty Cổ phần Sử Thiên Thanh,Công ty con,Cho vay,4.000.000.000,2.500.000.000,,,4000000000.0,2500000000.0
Công ty Cổ phần Sử Thiên Thanh,Công ty Cổ phần Sử Thiên Thanh,Công ty Cổ phần Sử Thiên Thanh,Công ty con,Lãi cho vay,167.794.521,198.493.152,,,167794521.0,198493152.0
Công ty Cổ phần Đồ gỗ Casadora,Công ty Cổ phần Đồ gỗ Casadora,Công ty Cổ phần Đồ gỗ Casadora,Công ty con,Cung cấp dịch vụ,1.335.167.788,2.775.215.482,,,1335167788.0,2775215482.0
Công ty Cổ phần Đồ gỗ Casadora,Công ty Cổ phần Đồ gỗ Casadora,Công ty Cổ phần Đồ gỗ Casadora,Công ty con,Lãi cho vay,1.419.404.107,1.213.363.012,,,1419404107.0,1213363012.0
Công ty Cổ phần Đồ gỗ Casadora,Công ty Cổ phần Đồ gỗ Casadora,Công ty Cổ phần Đồ gỗ Casadora,Công ty con,Cho vay,-,7.715.000.000,,,,7715000000.0
Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty liên doanh,Lãi cho vay,1.227.186.689,1.772.917.989,,,1227186689.0,1772917989.0
Công ty Cổ phần Central Wood,Công ty Cổ phần Central Wood,Công ty Cổ phần Central Wood,Công ty con,Chi phí lãi vay,1.051.596.716,937.263.565,,,1051596716.0,937263565.0
Công ty Cổ phần Central Wood,Công ty Cổ phần Central Wood,Công ty Cổ phần Central Wood,Công ty con,Góp vốn,-,30.600.000.000,,,,30600000000.0
Công ty Cổ phần Central Wood,Công ty Cổ phần Central Wood,Công ty Cổ phần Central Wood,Công ty con,Vay,-,16.900.000.000,,,,16900000000.0
Công ty Cổ phần Lâm Nghiệp Trường Thành,Công ty Cổ phần Lâm Nghiệp Trường Thành,Công ty Cổ phần Lâm Nghiệp Trường Thành,Công ty con,Trả gốc cho vay,-,4.500.000.000,,,,4500000000.0
Công ty Cổ phần Trường Thành Xanh,Công ty Cổ phần Trường Thành Xanh,Công ty Cổ phần Trường Thành Xanh,Công ty con,Chi phí trồng rừng,-,111.014.850,,,,111014850.0
