row_label_raw,row_label_full,Số đầu năm > Vay trong năm,503.037.467.131 > 205.000.000.000,numeric__503.037.467.131 > 205.000.000.000
Trả gốc vay,Trả gốc vay,Trả gốc vay,(328.283.700.000),-328283700000.0
Hoán đổi nợ vay (TM số 23.1),Hoán đổi nợ vay (TM số 23.1),Hoán đổi nợ vay (TM số 23.1),(362.853.767.131),-362853767131.0
Số cuối năm,Số cuối năm,Số cuối năm,16.900.000.000,16900000000.0
