row_label_raw,row_label_full,col_0,Vốn điều lệ,Vốn điều lệ_1,Vốn đã góp,Vốn sẽ góp,numeric__Vốn điều lệ,numeric__Vốn điều lệ_1,numeric__Vốn đã góp,numeric__Vốn sẽ góp
,,,Vốn góp cam kết USD,% lợi ích %,Vốn đã góp,Vốn sẽ góp,,,,
Natuzzi Singapore Pte. Ltd,Natuzzi Singapore Pte. Ltd,Natuzzi Singapore Pte. Ltd,5.357.000,20,-,5.357.000,5357000.0,20.0,,5357000.0
