row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,,,,
Công ty TNHH Trồng rừng Trường Thành OJI,Phải thu về cho vay dài hạn > Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty liên doanh,Cho vay,4.581.360.000,9.107.358.000,,,4581360000.0,9107358000.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Công ty Cổ phần Bao bì Trường Thành,Phải trả người bán ngắn hạn > Công ty Cổ phần Bao bì Trường Thành,Công ty Cổ phần Bao bì Trường Thành,Công ty liên kết,Mua hàng,1.717.935.076,1.730.935.076,,,1717935076.0,1730935076.0
Công ty Cổ phần Trường Thành Xanh,Phải trả người bán ngắn hạn > Công ty Cổ phần Trường Thành Xanh,Công ty Cổ phần Trường Thành Xanh,Công ty con,Mua hàng,1.325.233.228,1.838.433.228,,,1325233228.0,1838433228.0
Công ty Cổ phần Lâm nghiệp Trường Thành,Phải trả người bán ngắn hạn > Công ty Cổ phần Lâm nghiệp Trường Thành,Công ty Cổ phần Lâm nghiệp Trường Thành,Công ty con,Mua hàng,120.971.000,149.571.000,,,120971000.0,149571000.0
,,,,,3.164.139.304,3.718.939.304,,,3164139304.0,3718939304.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,,,,
"OJI Paper Co., Ltd.","Chi phí phải trả ngắn hạn > OJI Paper Co., Ltd.","OJI Paper Co., Ltd.",Công ty cùng liên doanh vào OJI,Bồi thường,46.130.000.000,46.380.000.000,,,46130000000.0,46380000000.0
Công ty Cổ phần Central Wood,Chi phí phải trả ngắn hạn > Công ty Cổ phần Central Wood,Công ty Cổ phần Central Wood,Công ty con,Chi phí lãi vay,1.988.860.281,937.263.565,,,1988860281.0,937263565.0
Ông Mai Hữu Tín,Chi phí phải trả ngắn hạn > Ông Mai Hữu Tín,Ông Mai Hữu Tín,Chủ tịch HĐQT,Chi phí lãi vay,1.436.712.329,-,,,1436712329.0,
,,,,,49.555.572.610,47.317.263.565,,,49555572610.0,47317263565.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,,
Ông Mai Hữu Tín,Phải trả ngắn hạn khác > Ông Mai Hữu Tín,Ông Mai Hữu Tín,Chủ tịch HĐQT,Khác,2.000.000.000,2.000.000.000,,,2000000000.0,2000000000.0
Công ty Cổ phần Lâm nghiệp Trường Thành,Phải trả ngắn hạn khác > Công ty Cổ phần Lâm nghiệp Trường Thành,Công ty Cổ phần Lâm nghiệp Trường Thành,Công ty con,Khác,18.142.517,18.142.517,,,18142517.0,18142517.0
Trường Thành M'Drắk,Phải trả ngắn hạn khác > Trường Thành M'Drắk,Trường Thành M'Drắk,Công ty con,Khác,-,51.141.316,,,,51141316.0
,,,(đến ngày 9 tháng 8 năm 2021) (i),,,,,,,
Ông Lê Minh Ngọc,Phải trả ngắn hạn khác > Ông Lê Minh Ngọc,Ông Lê Minh Ngọc,Phó Tổng Giám đốc,Khác,-,17.930.000,,,,17930000.0
,,,(đến ngày 30 tháng 11 năm 2021),,,,,,,
,,,,,2.018.142.517,2.087.213.833,,,2018142517.0,2087213833.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Công ty Cổ phần Central Wood,Vay ngắn hạn > Công ty Cổ phần Central Wood,Công ty Cổ phần Central Wood,Công ty con,Vay (*),16.900.000.000,16.900.000.000,,,16900000000.0,16900000000.0
