row_label_raw,row_label_full,Trái chủ > Công ty TNHH Bảo hiểm Nhân thọ Prudential Việt Nam > Công ty TNHH Manulife (Việt Nam) > Công ty TNHH Bảo hiểm Nhân thọ AIA (Việt Nam) > Công ty TNHH Bảo hiểm Nhân thọ Chubb Việt Nam > Công ty TNHH Bảo hiểm Nhân thọ Sun Life Việt Nam > Công ty TNHH Chứng khoán Ngân hàng Ngoại thương Việt Nam,Số tiền VND > 470.000.000.000 > 450.000.000.000 > 100.000.000.000 > 45.000.000.000 > 40.000.000.000 > 30.000.000.000,"Lãi suất (%/năm) > 6,55",Ngàyđáo hạn > Ngày 17 tháng 11 năm 2022,Mục đích > Bổ sung nhu cầu vốn đầu tư,Tài sản đảm bảo > Tín chấp,numeric__Số tiền VND > 470.000.000.000 > 450.000.000.000 > 100.000.000.000 > 45.000.000.000 > 40.000.000.000 > 30.000.000.000,"numeric__Lãi suất (%/năm) > 6,55",numeric__Ngàyđáo hạn > Ngày 17 tháng 11 năm 2022,numeric__Mục đích > Bổ sung nhu cầu vốn đầu tư,numeric__Tài sản đảm bảo > Tín chấp
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(21.943.333.334),,,,,-21943333334.0,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.113.056.666.666,,,,,1113056666666.0,,,,
