row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc",Phương tiện vận tải,Thiết bị văn phòng,VND Tổng cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,2.366.182.541.202,64.889.034.822,353.415.546.410,2.784.487.122.434,2366182541202.0,64889034822.0,353415546410.0,2784487122434.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,1.674.716.967.601,19.442.786.696,274.730.983.039,1.968.890.737.336,1674716967601.0,19442786696.0,274730983039.0,1968890737336.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,84.124.077.980,-,-,84.124.077.980,84124077980.0,,,84124077980.0
Thanh lý trong năm,Nguyên giá: > Thanh lý trong năm,Thanh lý trong năm,(3.938.872.499),(730.544.618),-,(4.669.417.117),-3938872499.0,-730544618.0,,-4669417117.0
Phân loại lại,Nguyên giá: > Phân loại lại,Phân loại lại,(132.614.255),-,-,(132.614.255),-132614255.0,,,-132614255.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,4.120.952.100.029,83.601.276.900,628.146.529.449,4.832.699.906.378,4120952100029.0,83601276900.0,628146529449.0,4832699906378.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(585.858.829.937),(11.991.922.101),(116.827.589.028),(714.678.341.066),-585858829937.0,-11991922101.0,-116827589028.0,-714678341066.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(565.688.021.352),(21.621.460.867),(99.422.911.250),(686.732.393.469),-565688021352.0,-21621460867.0,-99422911250.0,-686732393469.0
Thanh lý trong năm,Giá trị khấu hao lũy kế: > Thanh lý trong năm,Thanh lý trong năm,3.811.366.212,730.544.618,-,4.541.910.830,3811366212.0,730544618.0,,4541910830.0
Phân loại lại,Giá trị khấu hao lũy kế: > Phân loại lại,Phân loại lại,17.250.626,-,-,17.250.626,17250626.0,,,17250626.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(1.147.718.234.451),(32.882.838.350),(216.250.500.278),(1.396.851.573.079),-1147718234451.0,-32882838350.0,-216250500278.0,-1396851573079.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,1.780.323.711.265,52.897.112.721,236.587.957.382,2.069.808.781.368,1780323711265.0,52897112721.0,236587957382.0,2069808781368.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,2.973.233.865.578,50.718.438.550,411.896.029.171,3.435.848.333.299,2973233865578.0,50718438550.0,411896029171.0,3435848333299.0
