row_label_raw,row_label_full,Trả trước cho bên liên quan(Thuyết minh số 30),Số cuối năm > 34.401.056.088,VND Số đầu năm > 245.765.162.382,numeric__Số cuối năm > 34.401.056.088,numeric__VND Số đầu năm > 245.765.162.382
Trả trước cho các bên khác,Trả trước cho các bên khác,Trả trước cho các bên khác,83.540.982.672,69.445.018.771,83540982672.0,69445018771.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,117.942.038.760,315.210.181.153,117942038760.0,315210181153.0
