row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Chênh lệch tỷ giá,Lợi nhuận sau thuế chưa phân phối,Vốn khác,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Vốn khác,numeric__Tổng cộng
Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,,,,,,,
Số đầu năm,Năm trước: > Số đầu năm,Số đầu năm,1.468.889.740.000,36.717.698.286,(2.454.294.500),-,977.630.195.800,1.130.494.084,2.481.913.833.670,1468889740000.0,36717698286.0,-2454294500.0,,977630195800.0,1130494084.0,2481913833670.0
Lợi nhuận thuần trong năm,Năm trước: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.577.372.426.339,-,1.577.372.426.339,,,,,1577372426339.0,,1577372426339.0
Chia cổ tức,Năm trước: > Chia cổ tức,Chia cổ tức,-,-,-,-,(219.929.263.800),-,(219.929.263.800),,,,,-219929263800.0,,-219929263800.0
Phát hành cổ phiếu ESOP,Năm trước: > Phát hành cổ phiếu ESOP,Phát hành cổ phiếu ESOP,70.619.530.000,-,2.690.430.000,-,(73.309.960.000),-,-,70619530000.0,,2690430000.0,,-73309960000.0,,
Mua lại cổ phiếu,Năm trước: > Mua lại cổ phiếu,Mua lại cổ phiếu,-,-,(315.300.000),-,-,-,(315.300.000),,,-315300000.0,,,,-315300000.0
Số cuối năm,Năm trước: > Số cuối năm,Số cuối năm,1.539.509.270.000,36.717.698.286,(79.164.500),-,2.261.763.398.339,1.130.494.084,3.839.041.696.209,1539509270000.0,36717698286.0,-79164500.0,,2261763398339.0,1130494084.0,3839041696209.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,1.539.509.270.000,36.717.698.286,(79.164.500),-,2.261.763.398.339,1.130.494.084,3.839.041.696.209,1539509270000.0,36717698286.0,-79164500.0,,2261763398339.0,1130494084.0,3839041696209.0
Lợi nhuận trong năm,Năm nay: > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,2.205.679.630.420,-,2.205.679.630.420,,,,,2205679630420.0,,2205679630420.0
Chia cổ tức (*),Năm nay: > Chia cổ tức (*),Chia cổ tức (*),-,-,-,-,(230.721.660.300),-,(230.721.660.300),,,,,-230721660300.0,,-230721660300.0
Phát hành cổ phiếu thường (**),Năm nay: > Phát hành cổ phiếu thường (**),Phát hành cổ phiếu thường (**),1.538.148.620.000,-,-,-,(1.538.148.620.000),-,-,1538148620000.0,,,,-1538148620000.0,,
Phát hành cổ phiếu ESOP (***),Năm nay: > Phát hành cổ phiếu ESOP (***),Phát hành cổ phiếu ESOP (***),92.226.480.000,-,-,-,-,-,92.226.480.000,92226480000.0,,,,,,92226480000.0
Chênh lệch tỷ giá,Năm nay: > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,(86.063.365),-,-,(86.063.365),,,,-86063365.0,,,-86063365.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,3.169.884.370.000,36.717.698.286,(79.164.500),(86.063.365),2.698.572.748.459,1.130.494.084,5.906.140.082.964,3169884370000.0,36717698286.0,-79164500.0,-86063365.0,2698572748459.0,1130494084.0,5906140082964.0
