row_label_raw,row_label_full,col_0,1/1/2020VND,Số đã nộp trong năm VND,Số phát sinh/đã thu được trong năm VND,31/12/2020VND,numeric__1/1/2020VND,numeric__Số đã nộp trong năm VND,numeric__Số phát sinh/đã thu được trong năm VND,numeric__31/12/2020VND
Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,,,,
Thuế thu nhập doanh nghiệp,Thuế > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,220.220.199,-,-,220.220.199,220220199.0,,,220220199.0
Văn phòng,Thuế > Văn phòng,Văn phòng,220.220.199,-,-,220.220.199,220220199.0,,,220220199.0
"Thuế xuất, nhập khẩu","Thuế > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,129.384.434,(129.384.434),-,,129384434.0,-129384434.0,
Nhà máy Sợi Nam Định,Thuế > Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,-,62.616.054,(62.616.054),-,,62616054.0,-62616054.0,
Nhà máy Sợi Phú Cường,Thuế > Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,-,66.768.380,(66.768.380),-,,66768380.0,-66768380.0,
Thuế môn bài,Thuế > Thuế môn bài,Thuế môn bài,500.000,1.500.000,(2.000.000),-,500000.0,1500000.0,-2000000.0,
Trung tâm Thời trang Vinatex,Thuế > Trung tâm Thời trang Vinatex,Trung tâm Thời trang Vinatex,500.000,1.500.000,(2.000.000),-,500000.0,1500000.0,-2000000.0,
Thuế GTGT hàng nhập khẩu,Thuế > Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,-,727.936.378,(552.936.378),175.000.000,,727936378.0,-552936378.0,175000000.0
Nhà máy Sợi Phú Cường,Thuế > Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,-,448.502.914,(273.502.914),175.000.000,,448502914.0,-273502914.0,175000000.0
Nhà máy Sợi Nam Định,Thuế > Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,-,279.433.464,(279.433.464),-,,279433464.0,-279433464.0,
,,,220.720.199,858.820.812,(684.320.812),395.220.199,220720199.0,858820812.0,-684320812.0,395220199.0
