row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,78.833.849.210,2.925.477.301,81.759.326.511,78833849210.0,2925477301.0,81759326511.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,30.922.000,30.922.000,,30922000.0,30922000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,78.833.849.210,2.956.399.301,81.790.248.511,78833849210.0,2956399301.0,81790248511.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,16.560.093.832,2.129.540.810,18.689.634.642,16560093832.0,2129540810.0,18689634642.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.638.730.776,132.478.636,1.771.209.412,1638730776.0,132478636.0,1771209412.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,18.198.824.608,2.262.019.446,20.460.844.054,18198824608.0,2262019446.0,20460844054.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,62.273.755.378,795.936.491,63.069.691.869,62273755378.0,795936491.0,63069691869.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,60.635.024.602,694.379.855,61.329.404.457,60635024602.0,694379855.0,61329404457.0
