row_label_raw,row_label_full,col_0,31/12/2020VND,1/1/2020VNDĐã điều chỉnh lại,numeric__31/12/2020VND,numeric__1/1/2020VNDĐã điều chỉnh lại
Các bên liên quan,Các bên liên quan,Các bên liên quan,Các bên liên quan,Các bên liên quan,,
"Công ty TNHH MTV Đệt kim Đông Phương– Phải trả quỹ khen thưởng, phúc lợi","Các bên liên quan > Công ty TNHH MTV Đệt kim Đông Phương– Phải trả quỹ khen thưởng, phúc lợi","Công ty TNHH MTV Đệt kim Đông Phương– Phải trả quỹ khen thưởng, phúc lợi",1.693.254.921,1.034.396.693,1693254921.0,1034396693.0
"Công ty TNHH Một Thành Viên Đệt kim Đông xuân– Phải trả quỹ khen thưởng, phúc lợi","Các bên liên quan > Công ty TNHH Một Thành Viên Đệt kim Đông xuân– Phải trả quỹ khen thưởng, phúc lợi","Công ty TNHH Một Thành Viên Đệt kim Đông xuân– Phải trả quỹ khen thưởng, phúc lợi",3.055.465.397,3.055.465.397,3055465397.0,3055465397.0
Công ty TNHH Tổng Công ty Đệt May Miền Bắc – Vinatex– Chỉ phí chạy thử nhà máy May Tuyên Quang,Các bên liên quan > Công ty TNHH Tổng Công ty Đệt May Miền Bắc – Vinatex– Chỉ phí chạy thử nhà máy May Tuyên Quang,Công ty TNHH Tổng Công ty Đệt May Miền Bắc – Vinatex– Chỉ phí chạy thử nhà máy May Tuyên Quang,-,9.564.631.384,,9564631384.0
Công ty TNHH Một Thành Viên Đệt 8/3– Quyết toán vốn đầu tư theo Quyết toán cổ phần hóa (iii),Các bên liên quan > Công ty TNHH Một Thành Viên Đệt 8/3– Quyết toán vốn đầu tư theo Quyết toán cổ phần hóa (iii),Công ty TNHH Một Thành Viên Đệt 8/3– Quyết toán vốn đầu tư theo Quyết toán cổ phần hóa (iii),-,24.094.548.602,,24094548602.0
Công ty TNHH Một Thành Viên Đệt 8/3– Quyết toán chi phí cổ phần hóa (iv),Các bên liên quan > Công ty TNHH Một Thành Viên Đệt 8/3– Quyết toán chi phí cổ phần hóa (iv),Công ty TNHH Một Thành Viên Đệt 8/3– Quyết toán chi phí cổ phần hóa (iv),-,58.430.000,,58430000.0
Công ty TNHH Một Thành Viên Đệt 8/3 – Phải trả khác,Các bên liên quan > Công ty TNHH Một Thành Viên Đệt 8/3 – Phải trả khác,Công ty TNHH Một Thành Viên Đệt 8/3 – Phải trả khác,522.970.203,-,522970203.0,
Công ty TNHH MTV Đệt kim Đông Phương– Quyết toán vốn đầu tư theo Quyết toán cổ phần hóa (iii),Các bên liên quan > Công ty TNHH MTV Đệt kim Đông Phương– Quyết toán vốn đầu tư theo Quyết toán cổ phần hóa (iii),Công ty TNHH MTV Đệt kim Đông Phương– Quyết toán vốn đầu tư theo Quyết toán cổ phần hóa (iii),5.375.748.524,5.277.203.756,5375748524.0,5277203756.0
Công ty TNHH MTV Đệt kim Đông Phương– Quyết toán chi phí cổ phần hóa (iv),Các bên liên quan > Công ty TNHH MTV Đệt kim Đông Phương– Quyết toán chi phí cổ phần hóa (iv),Công ty TNHH MTV Đệt kim Đông Phương– Quyết toán chi phí cổ phần hóa (iv),1.300.091.928,1.300.091.928,1300091928.0,1300091928.0
Các bên khác,Các bên khác,Các bên khác,Các bên khác,Các bên khác,,
Phải trả cho các trường đào tạo (i),Các bên khác > Phải trả cho các trường đào tạo (i),Phải trả cho các trường đào tạo (i),7.562.091.012,7.562.091.012,7562091012.0,7562091012.0
Quỹ từ thiện,Các bên khác > Quỹ từ thiện,Quỹ từ thiện,3.145.248.287,3.395.248.287,3145248287.0,3395248287.0
Lãi vay phải trả,Các bên khác > Lãi vay phải trả,Lãi vay phải trả,2.274.676.464,3.480.058.192,2274676464.0,3480058192.0
"Kinh phí công đoàn, bảo hiểm xã hội, bảo hiểm y tế vàbảo hiểm thất nghiệp","Các bên khác > Kinh phí công đoàn, bảo hiểm xã hội, bảo hiểm y tế vàbảo hiểm thất nghiệp","Kinh phí công đoàn, bảo hiểm xã hội, bảo hiểm y tế vàbảo hiểm thất nghiệp",628.151.837,558.051.350,628151837.0,558051350.0
Phải nộp Quỹ Hồ trợ Sắp xếp và Phát triển Doanh nghiệp (ii),Các bên khác > Phải nộp Quỹ Hồ trợ Sắp xếp và Phát triển Doanh nghiệp (ii),Phải nộp Quỹ Hồ trợ Sắp xếp và Phát triển Doanh nghiệp (ii),-,357.614.866.635,,357614866635.0
Cổ tức phải trả,Các bên khác > Cổ tức phải trả,Cổ tức phải trả,359.913.125,311.363.625,359913125.0,311363625.0
Các khoản phải trả khác,Các bên khác > Các khoản phải trả khác,Các khoản phải trả khác,7.499.119.656,8.769.279.655,7499119656.0,8769279655.0
,,,33.416.731.354,426.075.726.516,33416731354.0,426075726516.0
