row_label_raw,row_label_full,col_0,Tỷ lệ %sở hữu,Tỷ lệ %quyềnbiểu quyết,31/12/2020 > Giá gốcVND,31/12/2020 > Dự phòngVND,31/12/2020 > Giá trịhợp lýVND,31/12/2020 > Tỷ lệ %sở hữu,Tỷ lệ %quyềnbiểu quyết_1,1/1/2020 > Giá gốcVNDĐã điều chỉnh lại,1/1/2020 > Dự phòngVNDĐã điều chỉnh lại,1/1/2020 > Giá trịhợp lýVND,numeric__Tỷ lệ %sở hữu,numeric__Tỷ lệ %quyềnbiểu quyết,numeric__31/12/2020 > Giá gốcVND,numeric__31/12/2020 > Dự phòngVND,numeric__31/12/2020 > Giá trịhợp lýVND,numeric__31/12/2020 > Tỷ lệ %sở hữu,numeric__Tỷ lệ %quyềnbiểu quyết_1,numeric__1/1/2020 > Giá gốcVNDĐã điều chỉnh lại,numeric__1/1/2020 > Dự phòngVNDĐã điều chỉnh lại,numeric__1/1/2020 > Giá trịhợp lýVND
▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,,,,,,,,,,
• Tổng Công ty May Nhà Bè – CTCP,▪ Công ty liên kết > • Tổng Công ty May Nhà Bè – CTCP,• Tổng Công ty May Nhà Bè – CTCP,"27,69%","27,69%",64.157.524.344,-,(*),"27,69%","27,69%",64.157.524.344,-,(*),0.27690000000000003,0.27690000000000003,64157524344.0,,,0.27690000000000003,0.27690000000000003,64157524344.0,,
• Công ty Cổ phần Đầu tư Vinatex Tân Tạo,▪ Công ty liên kết > • Công ty Cổ phần Đầu tư Vinatex Tân Tạo,• Công ty Cổ phần Đầu tư Vinatex Tân Tạo,"21,21%","21,21%",28.018.860.248,-,(*),"21,21%","21,21%",28.018.860.248,-,(*),0.2121,0.2121,28018860248.0,,,0.2121,0.2121,28018860248.0,,
• Tổng Công ty Đức Giang – CTCP,▪ Công ty liên kết > • Tổng Công ty Đức Giang – CTCP,• Tổng Công ty Đức Giang – CTCP,"35,21%","35,21%",48.705.037.797,-,(*),"35,21%","35,21%",48.705.037.797,-,(*),0.3521,0.3521,48705037797.0,,,0.3521,0.3521,48705037797.0,,
• Tổng Công ty May Hưng Yên – CTCP,▪ Công ty liên kết > • Tổng Công ty May Hưng Yên – CTCP,• Tổng Công ty May Hưng Yên – CTCP,"35,01%","35,01%",47.350.233.012,-,(*),"35,01%","35,01%",47.350.233.012,-,(*),0.35009999999999997,0.35009999999999997,47350233012.0,,,0.35009999999999997,0.35009999999999997,47350233012.0,,
• Tổng Công ty May 10 – CTCP,▪ Công ty liên kết > • Tổng Công ty May 10 – CTCP,• Tổng Công ty May 10 – CTCP,"33,82%","33,82%",97.190.682.268,-,(*),"33,82%","33,82%",97.190.682.268,-,(*),0.3382,0.3382,97190682268.0,,,0.3382,0.3382,97190682268.0,,
• Tổng Công ty Cổ phần May Việt Tiến,▪ Công ty liên kết > • Tổng Công ty Cổ phần May Việt Tiến,• Tổng Công ty Cổ phần May Việt Tiến,"30,40%","30,40%",288.033.867.683,-,(*),"30,40%","30,40%",288.033.867.683,-,(*),0.304,0.304,288033867683.0,,,0.304,0.304,288033867683.0,,
• Tổng Công ty Việt Thắng – CTCP,▪ Công ty liên kết > • Tổng Công ty Việt Thắng – CTCP,• Tổng Công ty Việt Thắng – CTCP,"46,93%","46,93%",196.304.445.135,-,(*),"46,93%","46,93%",196.304.445.135,-,(*),0.4693,0.4693,196304445135.0,,,0.4693,0.4693,196304445135.0,,
• Các khoản đầu tư tại các công ty liên kết khác,▪ Công ty liên kết > • Các khoản đầu tư tại các công ty liên kết khác,• Các khoản đầu tư tại các công ty liên kết khác,,,312.976.679.391,(410.864.901),(*),,,312.976.679.391,(103.866.759),(*),,,312976679391.0,-410864901.0,,,,312976679391.0,-103866759.0,
,,,,,1.082.737.329.878,(410.864.901),,,,1.082.737.329.878,(103.866.759),,,,1082737329878.0,-410864901.0,,,,1082737329878.0,-103866759.0,
▪ Đơn vị khác,▪ Đơn vị khác,▪ Đơn vị khác,▪ Đơn vị khác,▪ Đơn vị khác,▪ Đơn vị khác,▪ Đơn vị khác,▪ Đơn vị khác,▪ Đơn vị khác,▪ Đơn vị khác,▪ Đơn vị khác,▪ Đơn vị khác,▪ Đơn vị khác,,,,,,,,,,
• Công ty Cổ phần TCE VINA DENIM,▪ Đơn vị khác > • Công ty Cổ phần TCE VINA DENIM,• Công ty Cổ phần TCE VINA DENIM,"2,5%","2,5%",19.450.204.510,(11.394.827.652),,"2,8%","2,8%",19.450.204.510,(11.508.400.536),(*),0.025,0.025,19450204510.0,-11394827652.0,,0.027999999999999997,0.027999999999999997,19450204510.0,-11508400536.0,
• Công ty Cổ phần Đầu tư và Phát triển Bình Thắng,▪ Đơn vị khác > • Công ty Cổ phần Đầu tư và Phát triển Bình Thắng,• Công ty Cổ phần Đầu tư và Phát triển Bình Thắng,"18,02%","18,02%",6.305.925.360,-,,"18,02%","18,02%",6.305.925.360,-,(*),0.1802,0.1802,6305925360.0,,,0.1802,0.1802,6305925360.0,,
• Các khoản đầu tư khác,▪ Đơn vị khác > • Các khoản đầu tư khác,• Các khoản đầu tư khác,,,30.002.094.390,-,,,,30.002.094.390,(807.577.002),(*),,,30002094390.0,,,,,30002094390.0,-807577002.0,
,,,,,55.758.224.260,(11.394.827.652),,,,55.758.224.260,(12.315.977.538),,,,55758224260.0,-11394827652.0,,,,55758224260.0,-12315977538.0,
,,,,,3.280.576.883.148,(215.805.778.922),,,,3.278.873.520.755,(193.709.014.409),,,,3280576883148.0,-215805778922.0,,,,3278873520755.0,-193709014409.0,
