row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Lợi nhuận sau thuế chưa phân phối VND,Nguồn vốn đầu tư xây dựng cơ bản VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Nguồn vốn đầu tư xây dựng cơ bản VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2019– đã điều chỉnh lại,Số dư tại ngày 1/1/2019– đã điều chỉnh lại,Số dư tại ngày 1/1/2019– đã điều chỉnh lại,5.000.000.000.000,30.361.932.352,344.090.705.204,543.092.845.095,5.917.545.482.651,5000000000000.0,30361932352.0,344090705204.0,543092845095.0,5917545482651.0
Số dư tại ngày 1/1/2019 –đã báo cáo trước đây,Số dư tại ngày 1/1/2019 –đã báo cáo trước đây,Số dư tại ngày 1/1/2019 –đã báo cáo trước đây,5.000.000.000.000,29.911.650.892,352.672.256.613,543.092.845.095,5.925.676.752.600,5000000000000.0,29911650892.0,352672256613.0,543092845095.0,5925676752600.0
Điều chỉnh lại (Thuyết minh 40),Điều chỉnh lại (Thuyết minh 40),Điều chỉnh lại (Thuyết minh 40),-,450.281.460,(8.581.551.409),-,(8.131.269.949),,450281460.0,-8581551409.0,,-8131269949.0
Lợi nhuận thuần trong năm –đã điều chỉnh lại,Lợi nhuận thuần trong năm –đã điều chỉnh lại,Lợi nhuận thuần trong năm –đã điều chỉnh lại,-,-,292.389.411.629,-,292.389.411.629,,,292389411629.0,,292389411629.0
Lợi nhuận thuần trong năm –đã báo cáo trước đây,Lợi nhuận thuần trong năm –đã báo cáo trước đây,Lợi nhuận thuần trong năm –đã báo cáo trước đây,-,-,293.800.611.629,-,293.800.611.629,,,293800611629.0,,293800611629.0
Điều chỉnh lại (Thuyết minh 40),Điều chỉnh lại (Thuyết minh 40),Điều chỉnh lại (Thuyết minh 40),-,-,(1.411.200.000),-,(1.411.200.000),,,-1411200000.0,,-1411200000.0
"Phân bổ vào quỹ khen thưởng, phúc lợiCổ tức","Phân bổ vào quỹ khen thưởng, phúc lợiCổ tức","Phân bổ vào quỹ khen thưởng, phúc lợiCổ tức",-,-,(10.000.000.000),-,(10.000.000.000),,,-10000000000.0,,-10000000000.0
"Phân bổ vào quỹ khen thưởng, phúc lợiCổ tức","Phân bổ vào quỹ khen thưởng, phúc lợiCổ tức","Phân bổ vào quỹ khen thưởng, phúc lợiCổ tức",-,-,(300.000.000.000),-,(300.000.000.000),,,-300000000000.0,,-300000000000.0
Số dư tại ngày 31/12/2019– đã điều chỉnh lại,Số dư tại ngày 31/12/2019– đã điều chỉnh lại,Số dư tại ngày 31/12/2019– đã điều chỉnh lại,5.000.000.000.000,30.361.932.352,326.480.116.833,543.092.845.095,5.899.934.894.280,5000000000000.0,30361932352.0,326480116833.0,543092845095.0,5899934894280.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,146.202.152.397,-,146.202.152.397,,,146202152397.0,,146202152397.0
"Phân bổ vào quỹ khen thưởng, phúc lợiCổ tức (Thuyết minh 25)","Phân bổ vào quỹ khen thưởng, phúc lợiCổ tức (Thuyết minh 25)","Phân bổ vào quỹ khen thưởng, phúc lợiCổ tức (Thuyết minh 25)",-,-,(10.000.000.000),-,(10.000.000.000),,,-10000000000.0,,-10000000000.0
"Phân bổ vào quỹ khen thưởng, phúc lợiCổ tức (Thuyết minh 25)","Phân bổ vào quỹ khen thưởng, phúc lợiCổ tức (Thuyết minh 25)","Phân bổ vào quỹ khen thưởng, phúc lợiCổ tức (Thuyết minh 25)",-,-,(250.000.000.000),-,(250.000.000.000),,,-250000000000.0,,-250000000000.0
Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,5.000.000.000.000,30.361.932.352,212.682.269.230,543.092.845.095,5.786.137.046.677,5000000000000.0,30361932352.0,212682269230.0,543092845095.0,5786137046677.0
