row_label_raw,row_label_full,col_0,Nhà cửa.vật kiến trúcVND,Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tổng cộngVND,numeric__Nhà cửa.vật kiến trúcVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,530.193.710.727,1.085.244.462.772,50.472.739.502,47.481.225.258,1.713.392.138.259,530193710727.0,1085244462772.0,50472739502.0,47481225258.0,1713392138259.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,64.555.000,5.062.635.122,-,73.372.727,5.200.562.849,64555000.0,5062635122.0,,73372727.0,5200562849.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,7.442.716.137,895.591.000,1.228.049.090,483.950.000,10.050.306.227,7442716137.0,895591000.0,1228049090.0,483950000.0,10050306227.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(3.068.866.257),(702.727.273),-,(3.771.593.530),,-3068866257.0,-702727273.0,,-3771593530.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,537.700.981.864,1.088.133.822.637,50.998.061.319,48.038.547.985,1.724.871.413.805,537700981864.0,1088133822637.0,50998061319.0,48038547985.0,1724871413805.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,185.456.198.116,339.561.465.142,27.957.462.859,24.509.517.706,577.484.643.823,185456198116.0,339561465142.0,27957462859.0,24509517706.0,577484643823.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,27.190.790.657,75.985.303.392,3.989.368.931,4.255.461.295,111.420.924.275,27190790657.0,75985303392.0,3989368931.0,4255461295.0,111420924275.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(2.736.318.429),(702.727.273),-,(3.439.045.702),,-2736318429.0,-702727273.0,,-3439045702.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,212.646.988.773,412.810.450.105,31.244.104.517,28.764.979.001,685.466.522.396,212646988773.0,412810450105.0,31244104517.0,28764979001.0,685466522396.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,344.737.512.611,745.682.997.630,22.515.276.643,22.971.707.552,1.135.907.494.436,344737512611.0,745682997630.0,22515276643.0,22971707552.0,1135907494436.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,325.053.993.091,675.323.372.532,19.753.956.802,19.273.568.984,1.039.404.891.409,325053993091.0,675323372532.0,19753956802.0,19273568984.0,1039404891409.0
