row_label_raw,row_label_full,col_0,31/12/2020VND,1/1/2020VNDĐã điều chỉnh lại,numeric__31/12/2020VND,numeric__1/1/2020VNDĐã điều chỉnh lại
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Tổng Công ty Cổ phần Phong Phú,Công ty con > Tổng Công ty Cổ phần Phong Phú,Tổng Công ty Cổ phần Phong Phú,80.931.462.757,157.354.798.334,80931462757.0,157354798334.0
Tổng Công ty Cổ phần Dệt May Hà Nội– công ty con cấp 2,Công ty con > Tổng Công ty Cổ phần Dệt May Hà Nội– công ty con cấp 2,Tổng Công ty Cổ phần Dệt May Hà Nội– công ty con cấp 2,156.664.174.732,156.972.802.736,156664174732.0,156972802736.0
Công ty TNHH Một thành viên Dệt 8-3– công ty con cấp 2,Công ty con > Công ty TNHH Một thành viên Dệt 8-3– công ty con cấp 2,Công ty TNHH Một thành viên Dệt 8-3– công ty con cấp 2,4.556.715.583,4.654.203.162,4556715583.0,4654203162.0
Tổng Công ty Cổ phần Dệt May Hòa Thọ,Công ty con > Tổng Công ty Cổ phần Dệt May Hòa Thọ,Tổng Công ty Cổ phần Dệt May Hòa Thọ,22.236.413.809,37.155.917.949,22236413809.0,37155917949.0
Công ty TNHH Một thành viên Dệt kim Đông Xuân,Công ty con > Công ty TNHH Một thành viên Dệt kim Đông Xuân,Công ty TNHH Một thành viên Dệt kim Đông Xuân,68.375.247.853,69.326.639.771,68375247853.0,69326639771.0
Công ty Cổ phần Sợi Phú Bài,Công ty con > Công ty Cổ phần Sợi Phú Bài,Công ty Cổ phần Sợi Phú Bài,2.557.875.000,2.153.816.000,2557875000.0,2153816000.0
Công ty Cổ phần Dệt May Huế,Công ty con > Công ty Cổ phần Dệt May Huế,Công ty Cổ phần Dệt May Huế,5.230.778.270,9.819.116.943,5230778270.0,9819116943.0
Công ty TNHH Một thành viên Dệt kim Đông Phương,Công ty con > Công ty TNHH Một thành viên Dệt kim Đông Phương,Công ty TNHH Một thành viên Dệt kim Đông Phương,20.946.715.558,19.126.444.162,20946715558.0,19126444162.0
Công ty TNHH Tổng Công ty Dệt May Miền Nam – Vinatex,Công ty con > Công ty TNHH Tổng Công ty Dệt May Miền Nam – Vinatex,Công ty TNHH Tổng Công ty Dệt May Miền Nam – Vinatex,89.688.194.717,89.837.282.279,89688194717.0,89837282279.0
Công ty Cổ phần Phát triển Hạ tầng Dệt May Phố Nối,Công ty con > Công ty Cổ phần Phát triển Hạ tầng Dệt May Phố Nối,Công ty Cổ phần Phát triển Hạ tầng Dệt May Phố Nối,16.320.000.000,16.320.000.000,16320000000.0,16320000000.0
Các công ty con khác,Công ty con > Các công ty con khác,Các công ty con khác,16.112.498.145,8.901.250.000,16112498145.0,8901250000.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,
Tổng Công ty Cổ phần May Việt Tiến,Công ty liên kết > Tổng Công ty Cổ phần May Việt Tiến,Tổng Công ty Cổ phần May Việt Tiến,80.435.520.000,53.623.680.000,80435520000.0,53623680000.0
Tổng Công ty Việt Thắng – CTCP,Công ty liên kết > Tổng Công ty Việt Thắng – CTCP,Tổng Công ty Việt Thắng – CTCP,16.753.500.000,24.637.500.000,16753500000.0,24637500000.0
Tổng Công ty May Hưng Yên – CTCP,Công ty liên kết > Tổng Công ty May Hưng Yên – CTCP,Tổng Công ty May Hưng Yên – CTCP,11.384.271.360,33.204.124.800,11384271360.0,33204124800.0
Tổng Công ty May Nhà Bè – CTCP,Công ty liên kết > Tổng Công ty May Nhà Bè – CTCP,Tổng Công ty May Nhà Bè – CTCP,6.048.000.000,12.600.000.000,6048000000.0,12600000000.0
Tổng Công ty Đức Giang – CTCP,Công ty liên kết > Tổng Công ty Đức Giang – CTCP,Tổng Công ty Đức Giang – CTCP,6.338.446.000,11.092.280.500,6338446000.0,11092280500.0
Tổng Công ty May 10 – CTCP,Công ty liên kết > Tổng Công ty May 10 – CTCP,Tổng Công ty May 10 – CTCP,12.272.877.600,17.386.576.600,12272877600.0,17386576600.0
Các công ty liên kết khác,Công ty liên kết > Các công ty liên kết khác,Các công ty liên kết khác,38.862.777.175,27.697.323.003,38862777175.0,27697323003.0
,,,655.715.468.559,751.863.756.239,655715468559.0,751863756239.0
