row_label_raw,row_label_full,Tên công ty con,Nơi thành lập và hoạt động,Tỷ lệ phần sở hữu (trực tiếp và giản tiếp),Tỷ lệ quyền biểu quyết nằm giữ,Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ phần sở hữu (trực tiếp và giản tiếp),numeric__Tỷ lệ quyền biểu quyết nằm giữ,numeric__Hoạt động chính
Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,"Tăng 22, tòa nhà Keangnam Landmark 72, E6, Phạm Hùng, Mễ Trì, Tứ Liêm, Hà Nội",100%,100%,"Cung cấp giải pháp phãn mềm ứng dụng, dịch vụ ERP, dịch vụ cổng nghệ thông tin, tích hợp hệ thống",,1.0,1.0,
Công ty TNHH Phản mềm FPT,Công ty TNHH Phản mềm FPT,Công ty TNHH Phản mềm FPT,"Tòa nhà FPT Câu Giấy, phổ Duy Tân, quận Câu Giấy, Hà Nội",100%,100%,Cung cấp các dịch vụ và sản phẩm phãn mềm,,1.0,1.0,
Công ty Cố phân Viễn thông FPT (1),Công ty Cố phân Viễn thông FPT (1),Công ty Cố phân Viễn thông FPT (1),"Tăng 2, tòa nhà FPT Câu Giấy, phổ Duy Tân, quận Câu Giấy, Hà Nội","45,65%","45,65%","Cung cấp các dịch vụ ADSL, cho thuê đường truyền, quảng cáo trực tuyến và các dịch vụ trực tuyến khác",,0.45649999999999996,0.45649999999999996,
