row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Thiết bị văn phòng,Phương tiện vận tải,Khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Thiết bị văn phòng,numeric__Phương tiện vận tải,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,94.646.794.786,46.694.366.435,59.937.012.348,10.697.570.455,376.890.951,212.352.634.975,94646794786.0,46694366435.0,59937012348.0,10697570455.0,376890951.0,212352634975.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,283.394.993,4.625.380.335,7.464.520.000,-,12.373.295.328,,283394993.0,4625380335.0,7464520000.0,,12373295328.0
Đầu tư xây dựng cd bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cd bản hoàn thành,Đầu tư xây dựng cd bản hoàn thành,75.364.632.293,-,-,-,-,75.364.632.293,75364632293.0,,,,,75364632293.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(5.946.721.482),(140.390.213),-,-,(6.087.111.695),,-5946721482.0,-140390213.0,,,-6087111695.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,-,-,(72.000.000),-,-,(72.000.000),,,-72000000.0,,,-72000000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,170.011.427.079,41.031.039.946,64.350.002.470,18.162.090.455,376.890.951,293.931.450.901,170011427079.0,41031039946.0,64350002470.0,18162090455.0,376890951.0,293931450901.0
GIÁ TRỊ HAO MÔN LỦY KÊ,GIÁ TRỊ HAO MÔN LỦY KÊ,GIÁ TRỊ HAO MÔN LỦY KÊ,GIÁ TRỊ HAO MÔN LỦY KÊ,GIÁ TRỊ HAO MÔN LỦY KÊ,GIÁ TRỊ HAO MÔN LỦY KÊ,GIÁ TRỊ HAO MÔN LỦY KÊ,GIÁ TRỊ HAO MÔN LỦY KÊ,GIÁ TRỊ HAO MÔN LỦY KÊ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÔN LỦY KÊ > Số dư đầu năm,Số dư đầu năm,47.765.440.393,46.628.738.191,48.308.113.111,4.515.287.247,376.890.951,147.594.469.893,47765440393.0,46628738191.0,48308113111.0,4515287247.0,376890951.0,147594469893.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KÊ > Khẩu hao trong năm,Khẩu hao trong năm,5.974.369.081,84.564.432,6.485.195.908,2.239.180.265,-,14.783.309.686,5974369081.0,84564432.0,6485195908.0,2239180265.0,,14783309686.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÔN LỦY KÊ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(5.946.721.482),(103.784.022),-,-,(6.050.505.504),,-5946721482.0,-103784022.0,,,-6050505504.0
Giảm khác,GIÁ TRỊ HAO MÔN LỦY KÊ > Giảm khác,Giảm khác,-,-,(71.802.740),-,-,(71.802.740),,,-71802740.0,,,-71802740.0
Số dư cuối năm,GIÁ TRỊ HAO MÔN LỦY KÊ > Số dư cuối năm,Số dư cuối năm,53.739.809.474,40.766.581.141,54.617.722.257,6.754.467.512,376.890.951,156.255.471.335,53739809474.0,40766581141.0,54617722257.0,6754467512.0,376890951.0,156255471335.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,46.881.354.393,65.628.244,11.628.899.237,6.182.283.208,-,64.758.165.082,46881354393.0,65628244.0,11628899237.0,6182283208.0,,64758165082.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,116.271.617.605,264.458.805,9.732.280.213,11.407.622.943,-,137.675.979.566,116271617605.0,264458805.0,9732280213.0,11407622943.0,,137675979566.0
