row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGÂN HẠN,100,,4.283.157.223.963,3.950.524.016.425,,100.0,,4283157223963.0,3950524016425.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,720.832.090.017,1.028.875.665.356,,110.0,4.0,720832090017.0,1028875665356.0
1.,1.,1.,Tiền,111,,334.832.090.017,203.875.665.356,,111.0,,334832090017.0,203875665356.0
2.,2.,2.,Các khoản tương đương tiền,112,,386.000.000.000,825.000.000.000,,112.0,,386000000000.0,825000000000.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,2.526.500.000.000,1.743.000.000.000,,120.0,,2526500000000.0,1743000000000.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,5,2.526.500.000.000,1.743.000.000.000,,123.0,5.0,2526500000000.0,1743000000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,1.013.646.698.994,1.148.997.297.100,,130.0,,1013646698994.0,1148997297100.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,82.736.052.341,131.485.453.330,,131.0,6.0,82736052341.0,131485453330.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,54.744.072.487,75.775.137.683,,132.0,7.0,54744072487.0,75775137683.0
3.,3.,3.,Phải thu về cho vay ngắn hạn,135,8,27.000.000.000,48.500.000.000,,135.0,8.0,27000000000.0,48500000000.0
4.,4.,4.,Phải thu ngắn hạn khác,136,9,860.989.278.890,904.199.706.087,,136.0,9.0,860989278890.0,904199706087.0
5.,5.,5.,Dự phòng phải thu ngắn hạn khó đòi,137,,(11.822.704.724),(10.963.000.000),,137.0,,-11822704724.0,-10963000000.0
IV.,IV.,IV.,Hàng tôn kho,140,,37.367.253,181.147.253,,140.0,,37367253.0,181147253.0
1.,1.,1.,Hàng tôn kho,141,,37.367.253,181.147.253,,141.0,,37367253.0,181147253.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,22.141.067.699,29.469.906.716,,150.0,,22141067699.0,29469906716.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,,2.119.551.836,8.407.028.221,,151.0,,2119551836.0,8407028221.0
2.,2.,2.,Thuế giả trị gia tăng được khấu trừ,152,,19.986.713.235,21.028.075.867,,152.0,,19986713235.0,21028075867.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,16,34.802.628,34.802.628,,153.0,16.0,34802628.0,34802628.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,7.022.489.548.928,6.151.516.292.720,,200.0,,7022489548928.0,6151516292720.0
I.,I.,I.,Tài sản cổ định,220,,146.855.224.517,79.901.500.337,,220.0,,146855224517.0,79901500337.0
1.,1.,1.,Tài sản cổ định hữu hình,221,10,137.675.979.566,64.758.165.082,,221.0,10.0,137675979566.0,64758165082.0
,,,- Nguyên giá,222,,293.931.450.901,212.352.634.975,,222.0,,293931450901.0,212352634975.0
,,,- Giá trị hao mòn lũy kế,223,,(156.255.471.335),(147.594.469.893),,223.0,,-156255471335.0,-147594469893.0
2.,2.,2.,Tài sản cổ định vô hình,227,11,9.179.244.951,15.143.335.255,,227.0,11.0,9179244951.0,15143335255.0
,,,- Nguyên giá,228,,73.932.991.892,77.789.991.892,,228.0,,73932991892.0,77789991892.0
,,,- Giá trị hao mòn lũy kế,229,,(64.753.746.941),(62.646.656.637),,229.0,,-64753746941.0,-62646656637.0
II.,II.,II.,Tài sản dở dang dài hạn,240,,1.050.346.964.578,796.443.112.117,,240.0,,1050346964578.0,796443112117.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,12,1.050.346.964.578,796.443.112.117,,242.0,12.0,1050346964578.0,796443112117.0
III.,III.,III.,Đầu tư tài chính dài hạn,250,,5.822.613.409.012,5.272.613.409.012,,250.0,,5822613409012.0,5272613409012.0
1.,1.,1.,Đầu tư vào công ty con,251,"5, 13",5.329.613.409.012,4.779.613.409.012,,251.0,,5329613409012.0,4779613409012.0
2.,2.,2.,Đầu tư vào công ty liên kết,252,"5, 14",492.500.000.000,492.500.000.000,,252.0,,492500000000.0,492500000000.0
3.,3.,3.,Đầu tư góp vốn vào đơn vị khác,253,5,500.000.000,500.000.000,,253.0,5.0,500000000.0,500000000.0
IV.,IV.,IV.,Tài sản dài hạn khác,260,,2.673.950.821,2.558.271.254,,260.0,,2673950821.0,2558271254.0
1.,1.,1.,Chi phí trả trước dài hạn,261,,2.673.950.821,2.558.271.254,,261.0,,2673950821.0,2558271254.0
,,,TỔNG CÔNG TÀI SẢN (270=100+200),270,,11.305.646.772.891,10.102.040.309.145,,270.0,,11305646772891.0,10102040309145.0
