row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,1.621.704.112.496,1.068.438.706.363,,300.0,,1621704112496.0,1068438706363.0
I.,I.,I.,Nợ ngắn hạn,310,,1.371.611.362.496,1.068.438.706.363,,310.0,,1371611362496.0,1068438706363.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,15,284.069.594.062,210.736.755.515,,311.0,15.0,284069594062.0,210736755515.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,415.359.606,505.359.606,,312.0,,415359606.0,505359606.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,16,1.016.234.712,4.672.010.155,,313.0,16.0,1016234712.0,4672010155.0
4.,4.,4.,Phải trả người lao động,314,,6.616.863,2.686.194,,314.0,,6616863.0,2686194.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,17,48.517.203.398,38.119.024.140,,315.0,17.0,48517203398.0,38119024140.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,,1.037.282.677,-,,318.0,,1037282677.0,
7.,7.,7.,Phải trả ngắn hạn khác,319,18,354.500.401.876,241.635.921.451,,319.0,18.0,354500401876.0,241635921451.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,20,597.000.000.000,530.000.000.000,,320.0,20.0,597000000000.0,530000000000.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,,20.368.500.000,14.217.000.000,,321.0,,20368500000.0,14217000000.0
10.,10.,10.,"Quỹ khen thưởng, phúc lời",322,,64.680.169.302,28.549.949.302,,322.0,,64680169302.0,28549949302.0
II.,II.,II.,Nợ dài hạn,330,,250.092.750.000,-,,330.0,,250092750000.0,
1.,1.,1.,Doanh thu chưa thực hiện dài hạn,336,19,250.092.750.000,-,,336.0,19.0,250092750000.0,
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,9.683.942.660.395,9.033.601.602.782,,400.0,,9683942660395.0,9033601602782.0
I.,I.,I.,Vốn chủ sở hữu,410,21,9.683.942.660.395,9.033.601.602.782,,410.0,21.0,9683942660395.0,9033601602782.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,6.783.586.880.000,6.136.367.720.000,,411.0,,6783586880000.0,6136367720000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,6.783.586.880.000,6.136.367.720.000,,,,6783586880000.0,6136367720000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,49.941.441.360,49.941.441.360,,412.0,,49941441360.0,49941441360.0
3.,3.,3.,Cổ phiếu quỹ,415,,(823.760.000),(823.760.000),,415.0,,-823760000.0,-823760000.0
4.,4.,4.,Quỹ đầu tư phát triển,418,,103.009.261,103.009.261,,418.0,,103009261.0,103009261.0
5.,5.,5.,Quỹ khác thuộc vốn chủ sở hữu,420,,87.203.093.024,87.203.093.024,,420.0,,87203093024.0,87203093024.0
6.,6.,6.,Lợi nhuận sau thuế chưa phân phối,421,,2.763.931.996.750,2.760.810.099.137,,421.0,,2763931996750.0,2760810099137.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,1.527.643.010.297,2.203.926.850.682,,,,1527643010297.0,2203926850682.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,1.236.288.986.453,556.883.248.455,,,,1236288986453.0,556883248455.0
,,,TỔNG CÔNG NGUỒN VỐN (440=300+400),440,,11.305.646.772.891,10.102.040.309.145,,440.0,,11305646772891.0,10102040309145.0
