row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số cuối năm > VND Ghi chú,Số đầu năm > Giá gốc,Số đầu năm > VND Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > VND Ghi chú,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > VND Giá trị hợp lý
b1) Đầu tư vào công ty con,b1) Đầu tư vào công ty con,b1) Đầu tư vào công ty con,5.329.613.409.012,11.828.246.911.595,,4.779.613.409.012,11.304.358.703.371,5329613409012.0,11828246911595.0,,4779613409012.0,11304358703371.0
Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,850.000.000.000,1.271.323.740.373,(i),850.000.000.000,1.087.103.578.387,850000000000.0,1271323740373.0,,850000000000.0,1087103578387.0
Công ty TNHH Đầu tư FPT,Công ty TNHH Đầu tư FPT,Công ty TNHH Đầu tư FPT,800.000.000.000,909.072.750.414,(i),800.000.000.000,953.170.272.644,800000000000.0,909072750414.0,,800000000000.0,953170272644.0
Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,600.000.000.000,876.363.953.331,(i),450.000.000.000,642.454.500.452,600000000000.0,876363953331.0,,450000000000.0,642454500452.0
Công ty TNHH Phân mềm FPT,Công ty TNHH Phân mềm FPT,Công ty TNHH Phân mềm FPT,2.412.073.500.000,3.365.656.284.576,(i),2.012.073.500.000,2.900.034.457.168,2412073500000.0,3365656284576.0,,2012073500000.0,2900034457168.0
Công ty Cổ phần Viễn thông FPT,Công ty Cổ phần Viễn thông FPT,Công ty Cổ phần Viễn thông FPT,585.592.515.312,4.962.845.430.900,(ii),585.592.515.312,5.255.020.446.800,585592515312.0,4962845430900.0,,585592515312.0,5255020446800.0
Công ty Cổ phần Dịch vụ Trực tuyến FPT,Công ty Cổ phần Dịch vụ Trực tuyến FPT,Công ty Cổ phần Dịch vụ Trực tuyến FPT,81.947.393.700,442.984.752.000,(ii),81.947.393.700,466.575.447.920,81947393700.0,442984752000.0,,81947393700.0,466575447920.0
b2) Đầu tư vào công ty liên kết,b2) Đầu tư vào công ty liên kết,b2) Đầu tư vào công ty liên kết,492.500.000.000,1.710.424.837.234,,492.500.000.000,3.084.846.199.961,492500000000.0,1710424837234.0,,492500000000.0,3084846199961.0
Công ty Cổ phần Synnex FPT,Công ty Cổ phần Synnex FPT,Công ty Cổ phần Synnex FPT,398.500.000.000,936.753.137.234,(i),398.500.000.000,786.922.199.961,398500000000.0,936753137234.0,,398500000000.0,786922199961.0
Công ty Cổ phần Bản lẻ Kỹ thuật số FPT,Công ty Cổ phần Bản lẻ Kỹ thuật số FPT,Công ty Cổ phần Bản lẻ Kỹ thuật số FPT,94.000.000.000,773.671.700.000,(ii),94.000.000.000,2.297.924.000.000,94000000000.0,773671700000.0,,94000000000.0,2297924000000.0
b3) Đầu tư vào đơn vị khác,b3) Đầu tư vào đơn vị khác,b3) Đầu tư vào đơn vị khác,500.000.000,500.000.000,,500.000.000,500.000.000,500000000.0,500000000.0,,500000000.0,500000000.0
Dự án xây dựng đường vành đai 4,Dự án xây dựng đường vành đai 4,Dự án xây dựng đường vành đai 4,500.000.000,500.000.000,(i),500.000.000,500.000.000,500000000.0,500000000.0,,500000000.0,500000000.0
