row_label_raw,row_label_full,col_0,Phân mềmmày tinhVND,numeric__Phân mềmmày tinhVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,77.789.991.892,77789991892.0
Mua mới trong năm,NGUYÊN GIÁ > Mua mới trong năm,Mua mới trong năm,7.391.503.030,7391503030.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(11.248.503.030),-11248503030.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,73.932.991.892,73932991892.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,
Số dư đầu năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,62.646.656.637,62646656637.0
Khâu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Khâu hao trong năm,Khâu hao trong năm,5.181.563.992,5181563992.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÔN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.074.473.688),-3074473688.0
Số dư cuối năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,64.753.746.941,64753746941.0
GIÁ TRỊ CÔN LAI,GIÁ TRỊ CÔN LAI,GIÁ TRỊ CÔN LAI,GIÁ TRỊ CÔN LAI,
Tại ngày đầu năm,GIÁ TRỊ CÔN LAI > Tại ngày đầu năm,Tại ngày đầu năm,15.143.335.255,15143335255.0
Tại ngày cuối năm,GIÁ TRỊ CÔN LAI > Tại ngày cuối năm,Tại ngày cuối năm,9.179.244.951,9179244951.0
