row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuống,Trên 1 nàmdền 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 nămtrở xuống,numeric__Trên 1 nàmdền 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,,,,
Tiền và các khoản tương đương tiền,Tại ngày 31/12/2025 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,29.033.822.237,-,-,29.033.822.237,29033822237.0,,,29033822237.0
Phải thu khác,Tại ngày 31/12/2025 > Phải thu khác,Phải thu khác,74.200.337.607,306.677.519,-,74.507.015.126,74200337607.0,306677519.0,,74507015126.0
Các khoản cho vay,Tại ngày 31/12/2025 > Các khoản cho vay,Các khoản cho vay,6.500.000.000,-,-,6.500.000.000,6500000000.0,,,6500000000.0
,,,109.734.159.844,306.677.519,-,110.040.837.363,109734159844.0,306677519.0,,110040837363.0
Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2025 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,42.631.503.613,-,-,42.631.503.613,42631503613.0,,,42631503613.0
Phải thu khác,Tại ngày 01/01/2025 > Phải thu khác,Phải thu khác,214.473.212.924,286.302.692,-,214.759.515.616,214473212924.0,286302692.0,,214759515616.0
Các khoản cho vay,Tại ngày 01/01/2025 > Các khoản cho vay,Các khoản cho vay,18.841.300.000,-,-,18.841.300.000,18841300000.0,,,18841300000.0
,,,275.946.016.537,286.302.692,-,276.232.319.229,275946016537.0,286302692.0,,276232319229.0
