row_label_raw,row_label_full,Tên công ty nhận đầu tư,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Hoạt động kinh doanh chính
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,
- Công ty Cổ phần Sacom - Tuyên Lâm,Công ty con > - Công ty Cổ phần Sacom - Tuyên Lâm,- Công ty Cổ phần Sacom - Tuyên Lâm,Tính Lâm Đồng,"64,09%","64,09%","Kinh doanh khu du lịch, sân golf",,0.6409,0.6409,
- Công ty Cổ phần Dây và Cáp Sacom,Công ty con > - Công ty Cổ phần Dây và Cáp Sacom,- Công ty Cổ phần Dây và Cáp Sacom,Tính Đồng Nai,"99,92%","99,92%",Sản xuất dây cáp,,0.9992,0.9992,
- Công ty Cổ phần Địa ốc Sacom,Công ty con > - Công ty Cổ phần Địa ốc Sacom,- Công ty Cổ phần Địa ốc Sacom,Thành phố Hồ Chí Minh,"85,71%","85,71%",Kinh doanh bắt động sản,,0.8571,0.8571,
- Công ty TNHH Sacom Chíp Sáng,Công ty con > - Công ty TNHH Sacom Chíp Sáng,- Công ty TNHH Sacom Chíp Sáng,Thành phố Hồ Chí Minh,"73,75%","73,75%",Kinh doanh dịch vụ cho thuê văn phòng,,0.7375,0.7375,
- Công ty Cổ phần Capella Quảng Nam,Công ty con > - Công ty Cổ phần Capella Quảng Nam,- Công ty Cổ phần Capella Quảng Nam,Thành phố Đà Nẵng,"92,86%","92,86%",Đầu tư kinh doanh hạ tầng khu công nghiệp,,0.9286,0.9286,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,
- Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Công ty liên kết > - Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,- Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Thành phố Hồ Chí Minh,"34,96%","34,96%",Kinh doanh dịch vụ du lịch,,0.3496,0.3496,
- Công ty Cổ phần Capella Việt Nam,Công ty liên kết > - Công ty Cổ phần Capella Việt Nam,- Công ty Cổ phần Capella Việt Nam,Thành phố Hồ Chí Minh,"31,48%","31,48%",Tổ chức sự kiện và quảng cáo,,0.3148,0.3148,
- Công ty Cổ phần Phú Hữu Gia,Công ty liên kết > - Công ty Cổ phần Phú Hữu Gia,- Công ty Cổ phần Phú Hữu Gia,Tính Đồng Nai,"45,28%","45,28%",Kinh doanh bắt động sản,,0.45280000000000004,0.45280000000000004,
- Công ty Cổ phần Liên doanh Cảng Quốc tế Mỹ Thủy,Công ty liên kết > - Công ty Cổ phần Liên doanh Cảng Quốc tế Mỹ Thủy,- Công ty Cổ phần Liên doanh Cảng Quốc tế Mỹ Thủy,Tính Quảng Trị,"36,00%","36,00%",Đầu tư và kinh doanh cảng biển,,0.36,0.36,
Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,,,,
- Tổng Công ty Dược Việt Nam - CTCP,Đơn vị khác > - Tổng Công ty Dược Việt Nam - CTCP,- Tổng Công ty Dược Việt Nam - CTCP,Hà Nội,"4,80%","4,80%",Kinh doanh được phẩm,,0.048,0.048,
- Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP,Đơn vị khác > - Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP,- Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP,Thành phố Hồ Chí Minh,"8,00%","8,00%",Kinh doanh hạ tầng khu công nghiệp,,0.08,0.08,
- Công ty Cổ phần Vietferm,Đơn vị khác > - Công ty Cổ phần Vietferm,- Công ty Cổ phần Vietferm,Hà Nội,"5,00%","5,00%",Sản xuất thực phẩm,,0.05,0.05,
