row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuống,Trên 1 nàmdếng 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 nămtrở xuống,numeric__Trên 1 nàmdếng 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,,,,
Các khoản vay,Tại ngày 31/12/2025 > Các khoản vay,Các khoản vay,93.350.000.000,387.300.000.000,-,480.650.000.000,93350000000.0,387300000000.0,,480650000000.0
"Phải trả người bán,phải trả khác","Tại ngày 31/12/2025 > Phải trả người bán,phải trả khác","Phải trả người bán,phải trả khác",208.037.376.847,-,-,208.037.376.847,208037376847.0,,,208037376847.0
Chi phí phải trả,Tại ngày 31/12/2025 > Chi phí phải trả,Chi phí phải trả,949.904.130,-,-,949.904.130,949904130.0,,,949904130.0
,,,302.337.280.977,387.300.000.000,-,689.637.280.977,302337280977.0,387300000000.0,,689637280977.0
Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,,,,
Các khoản vay,Tại ngày 01/01/2025 > Các khoản vay,Các khoản vay,490.089.333.332,184.560.000.000,-,674.649.333.332,490089333332.0,184560000000.0,,674649333332.0
"Phải trả người bán,phải trả khác","Tại ngày 01/01/2025 > Phải trả người bán,phải trả khác","Phải trả người bán,phải trả khác",407.633.136.618,399.000.000,-,408.032.136.618,407633136618.0,399000000.0,,408032136618.0
Chi phí phải trả,Tại ngày 01/01/2025 > Chi phí phải trả,Chi phí phải trả,206.944.444,-,-,206.944.444,206944444.0,,,206944444.0
,,,897.929.414.394,184.959.000.000,-,1.082.888.414.394,897929414394.0,184959000000.0,,1082888414394.0
