row_label_raw,row_label_full,col_0,col_1,Năm 2025,Năm 2024,numeric__col_1,numeric__Năm 2025,numeric__Năm 2024
,,,,VND,VND,,,
,,,Vốn đầu tư của chủ sở hữu,,,,,
,,,- Vốn góp đầu năm,3.799.609.710.000,3.799.609.710.000,,3799609710000.0,3799609710000.0
,,,- Vốn góp cuối năm,3.799.609.710.000,3.799.609.710.000,,3799609710000.0,3799609710000.0
,,,"Cổ tức, lợi nhuận",,,,,
,,,"- Cổ tức, lợi nhuận phải trả đầu năm",1.372.031.029,1.372.031.029,,1372031029.0,1372031029.0
,,,"- Cổ tức, lợi nhuận còn phải trả cuối năm",1.372.031.029,1.372.031.029,,1372031029.0,1372031029.0
c),c),c),Cổ phiếu,,,,,
,,,,31/12/2025,01/01/2025,,,
,,,Số lượng cổ phiếu đăng ký phát hành,379.960.971,379.960.971,,379960971.0,379960971.0
,,,Số lượng cổ phiếu đã bán ra công chúng,,,,,
,,,- Cổ phiếu phổ thông,379.960.971,379.960.971,,379960971.0,379960971.0
,,,Số lượng cổ phiếu đang lưu hành,,,,,
,,,- Cổ phiếu phổ thông,379.960.971,379.960.971,,379960971.0,379960971.0
,,,Mệnh giá cổ phiếu đang lưu hành 10.000 VND/cổ phần,,,,,
d),d),d),Các quỹ công ty,,,,,
,,,,31/12/2025,01/01/2025,,,
,,,,VND,VND,,,
,,,Quỹ đầu tư phát triển,142.970.000,142.970.000,,142970000.0,142970000.0
,,,,142.970.000,142.970.000,,142970000.0,142970000.0
