row_label_raw,row_label_full,col_0,col_1,31/12/2025,01/01/2025,numeric__col_1,numeric__31/12/2025,numeric__01/01/2025
,,,,VND,VND,,,
a),a),a),Ngắn hạn,Ngắn hạn,Ngắn hạn,,,
a),a) > a),a),Công cụ dụng cụ xuất dùng,8.361.363,-,,8361363.0,
a),a) > a),a),Chi phí bảo hiểm,454.545.450,-,,454545450.0,
a),a) > a),a),Chi phí trả trước ngắn hạn khác,1.934.167,57.134.585,,1934167.0,57134585.0
a),a) > a),a),,464.840.980,57.134.585,,464840980.0,57134585.0
b),b),b),Dài hạn,Dài hạn,Dài hạn,,,
b),b) > b),b),Công cụ dụng cụ xuất dùng,3.850.000,-,,3850000.0,
b),b) > b),b),Chi phí sửa chữa tài sản,625.898.043,1.653.383.079,,625898043.0,1653383079.0
b),b) > b),b),Chi phí bảo hiểm,551.115.000,938.791.000,,551115000.0,938791000.0
b),b) > b),b),Chi phí trả trước dài hạn khác,1.004.802.770,578.041.893,,1004802770.0,578041893.0
b),b) > b),b),,2.185.665.813,3.170.215.972,,2185665813.0,3170215972.0
