row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu nămVND > 1.672.755.904,Số phải nộp/bùtrừ trong nămVND > 28.798.155.806,Số đã thực nộptrong nămVND > 28.345.670.411,Số cuối nămVND > 2.125.241.299,numeric__Số đầu nămVND > 1.672.755.904,numeric__Số phải nộp/bùtrừ trong nămVND > 28.798.155.806,numeric__Số đã thực nộptrong nămVND > 28.345.670.411,numeric__Số cuối nămVND > 2.125.241.299
- Thuế GTGT hàng bán nội địa,- Thuế GTGT hàng bán nội địa,- Thuế GTGT hàng bán nội địa,1.672.755.904,13.723.409.876,13.270.924.481,2.125.241.299,1672755904.0,13723409876.0,13270924481.0,2125241299.0
- Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,-,15.074.745.930,15.074.745.930,-,,15074745930.0,15074745930.0,
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,82.937.175.883,82.937.175.883,-,,82937175883.0,82937175883.0,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,(38.878.958.703),153.021.490.922,64.714.670.264,49.427.861.955,-38878958703.0,153021490922.0,64714670264.0,49427861955.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.596.934.303,76.874.021.375,72.118.677.064,6.352.278.614,1596934303.0,76874021375.0,72118677064.0,6352278614.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,330.451.200,3.886.810.080,3.883.183.440,334.077.840,330451200.0,3886810080.0,3883183440.0,334077840.0
Thuế bảo vệ môi trường và các loại thuế khác,Thuế bảo vệ môi trường và các loại thuế khác,Thuế bảo vệ môi trường và các loại thuế khác,119.763.601,5.729.514.964,5.834.528.565,14.750.000,119763601.0,5729514964.0,5834528565.0,14750000.0
- Thuế bảo vệ môi trường,- Thuế bảo vệ môi trường,- Thuế bảo vệ môi trường,119.763.601,109.059.899,214.073.500,14.750.000,119763601.0,109059899.0,214073500.0,14750000.0
- Thuế nhà đốt và tiền thuế đốt,- Thuế nhà đốt và tiền thuế đốt,- Thuế nhà đốt và tiền thuế đốt,-,5.241.716.227,5.241.716.227,-,,5241716227.0,5241716227.0,
- Các loại thuế khác,- Các loại thuế khác,- Các loại thuế khác,-,378.738.838,378.738.838,,,378738838.0,378738838.0,
,,,(35.159.053.695),351.247.169.030,257.833.905.627,58.254.209.708,-35159053695.0,351247169030.0,257833905627.0,58254209708.0
Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,,,,
Thuế và các khoản phải thu ngân sách Nhà nước,Trong đó > Thuế và các khoản phải thu ngân sách Nhà nước,Thuế và các khoản phải thu ngân sách Nhà nước,41.286.177.485,,,,41286177485.0,,,
Bao gồm:,Bao gồm:,Bao gồm:,Bao gồm:,Bao gồm:,Bao gồm:,Bao gồm:,,,,
- Thuế thu nhập doanh nghiệp tại Văn phòng Tổng Cổng ty,Bao gồm: > - Thuế thu nhập doanh nghiệp tại Văn phòng Tổng Cổng ty,- Thuế thu nhập doanh nghiệp tại Văn phòng Tổng Cổng ty,35.961.294.531,,,-,35961294531.0,,,
- Thuế thu nhập doanh nghiệp tại các công ty con,Bao gồm: > - Thuế thu nhập doanh nghiệp tại các công ty con,- Thuế thu nhập doanh nghiệp tại các công ty con,3.755.565.433,,,-,3755565433.0,,,
- Thuế thu nhập cá nhân tại chính nhánh Nhà máy Đạm Phú Mỹ,Bao gồm: > - Thuế thu nhập cá nhân tại chính nhánh Nhà máy Đạm Phú Mỹ,- Thuế thu nhập cá nhân tại chính nhánh Nhà máy Đạm Phú Mỹ,1.569.317.521,,,-,1569317521.0,,,
Thuế và các khoản phải nộp ngân sách Nhà nước,Bao gồm: > Thuế và các khoản phải nộp ngân sách Nhà nước,Thuế và các khoản phải nộp ngân sách Nhà nước,6.127.123.790,,,58.254.209.708,6127123790.0,,,58254209708.0
