row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
a. Short-term advances from customers which are not from related parties,a. Short-term advances from customers which are not from related parties,a. Short-term advances from customers which are not from related parties,a. Short-term advances from customers which are not from related parties,a. Short-term advances from customers which are not from related parties,,
Minh Tan Fertilizer Import Export Joint Stock Company,Minh Tan Fertilizer Import Export Joint Stock Company,Minh Tan Fertilizer Import Export Joint Stock Company,"78,006,999,022",-,,
"Hanwa Co.,Ltd.","Hanwa Co.,Ltd.","Hanwa Co.,Ltd.","35,653,213,200",-,,
VTNN Hung Thanh Company Limited,VTNN Hung Thanh Company Limited,VTNN Hung Thanh Company Limited,"12,331,417,552","10,740,883,320",,
"Lucky Horse Trading Co.,Ltd","Lucky Horse Trading Co.,Ltd","Lucky Horse Trading Co.,Ltd","11,578,660,000","7,327,222,000",,
Minh Dung Trading and Service Company Limited,Minh Dung Trading and Service Company Limited,Minh Dung Trading and Service Company Limited,"7,518,612,500",-,,
Tuan Vu Fertilizer Commercial Services Company Limited,Tuan Vu Fertilizer Commercial Services Company Limited,Tuan Vu Fertilizer Commercial Services Company Limited,"2,275,346,000","5,571,438,090",,
"Ameropa Asla Pte., Ltd","Ameropa Asla Pte., Ltd","Ameropa Asla Pte., Ltd",-,"9,736,400,000",,
"Brio Agrochem Pte., Ltd","Brio Agrochem Pte., Ltd","Brio Agrochem Pte., Ltd",-,"8,738,495,360",,
Forplas Industry Limited,Forplas Industry Limited,Forplas Industry Limited,-,"7,076,580,000",,
Others,Others,Others,"69,525,328,319","75,054,712,112",,
,,,"216,889,576,593","124,245,730,882",,
b. Short-term advances from related parties,b. Short-term advances from related parties,b. Short-term advances from related parties,b. Short-term advances from related parties,b. Short-term advances from related parties,,
(Details stated in Note 36),(Details stated in Note 36),(Details stated in Note 36),-,"66,625,000",,
,,,-,"66,625,000",,
Total,Total,Total,"216,889,576,593","124,312,355,882",,
