row_label_raw,row_label_full,Mr. Huynh Kim Nhan,Head of Board of Supervisors,numeric__Head of Board of Supervisors
Mr. Luong Phuong,Mr. Luong Phuong,Mr. Luong Phuong,Member,
Ms. Tran Thi Phuong,Ms. Tran Thi Phuong,Ms. Tran Thi Phuong,Member,
