row_label_raw,row_label_full,col_0,Buildings and structuresVND,Machinery and equipmentVND,Motor vehiclesVND,Office equipmentVND,OthersVND,TotalVND,numeric__Buildings and structuresVND,numeric__Machinery and equipmentVND,numeric__Motor vehiclesVND,numeric__Office equipmentVND,numeric__OthersVND,numeric__TotalVND
COST,COST,COST,COST,COST,COST,COST,COST,COST,,,,,,
Opening balance,Opening balance,Opening balance,"2,384,536,207,719","8,201,928,995,827","95,865,490,744","266,855,312,776","625,629,717,888","11,574,815,724,954",,,,,,
Additions,Additions,Additions,"1,130,722,267","12,392,461,068","11,301,622,220","19,487,015,544","343,634,223","44,655,455,322",,,,,,
Transfer from construction in progress,Transfer from construction in progress,Transfer from construction in progress,"7,349,584,812","10,539,014,694",-,-,"5,657,709,980","23,546,309,486",,,,,,
Disposals,Disposals,Disposals,-,"(1,454,919,333)","(4,543,126,444)","(4,026,502,392)",-,"(10,024,548,169)",,,,,,
Reclassified,Reclassified,Reclassified,-,"165,000,000",-,"(165,000,000)",-,-,,,,,,
Closing balance,Closing balance,Closing balance,"2,393,016,514,798","8,223,570,552,256","102,623,986,520","282,150,825,928","631,631,062,091","11,632,992,941,593",,,,,,
ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,,,,,,
Opening balance,Opening balance,Opening balance,"1,722,856,979,618","6,912,081,872,887","77,553,365,260","223,229,742,374","484,895,112,286","9,420,617,072,425",,,,,,
Charge for the year,Charge for the year,Charge for the year,"81,979,125,061","242,330,028,932","5,527,379,875","21,617,600,139","18,832,784,760","370,286,918,767",,,,,,
Disposals,Disposals,Disposals,-,"(1,454,919,333)","(4,543,126,444)","(4,026,502,375)",-,"(10,024,548,152)",,,,,,
Reclassified,Reclassified,Reclassified,-,"96,093,931",-,"(96,093,931)",-,-,,,,,,
Closing balance,Closing balance,Closing balance,"1,804,836,104,679","7,153,053,076,417","78,537,618,691","240,724,746,207","503,727,897,046","9,780,879,443,040",,,,,,
NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,,,,,,
Opening balance,Opening balance,Opening balance,"661,679,228,101","1,289,847,122,940","18,312,125,484","43,625,570,402","140,734,605,602","2,154,198,652,529",,,,,,
Closing balance,Closing balance,Closing balance,"588,180,410,119","1,070,517,475,839","24,086,367,829","41,426,079,721","127,903,165,045","1,852,113,498,553",,,,,,
