row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
a. Short-term trade receivables which are not from related parties,a. Short-term trade receivables which are not from related parties,a. Short-term trade receivables which are not from related parties,a. Short-term trade receivables which are not from related parties,a. Short-term trade receivables which are not from related parties,,
"Hung Thanh VTNN Co., Ltd","Hung Thanh VTNN Co., Ltd","Hung Thanh VTNN Co., Ltd","61,557,615,000","40,658,619,230",,
Tran Thi Ngoan Private Enterprise,Tran Thi Ngoan Private Enterprise,Tran Thi Ngoan Private Enterprise,"27,710,308,347","19,873,856,018",,
"Phu My Chemical and Construction Co.,Ltd","Phu My Chemical and Construction Co.,Ltd","Phu My Chemical and Construction Co.,Ltd","23,293,722,660","16,948,855,002",,
"Minh Dung Trading and Services Co., Ltd","Minh Dung Trading and Services Co., Ltd","Minh Dung Trading and Services Co., Ltd","19,513,127,719","46,222,847,421",,
"Mlnh Khoa Trading and Services Co., Ltd","Mlnh Khoa Trading and Services Co., Ltd","Mlnh Khoa Trading and Services Co., Ltd","18,620,947,207","31,587,378,570",,
"Tuan Vu Fertilizer Trading and Services Co., Ltd","Tuan Vu Fertilizer Trading and Services Co., Ltd","Tuan Vu Fertilizer Trading and Services Co., Ltd","11,764,426,870","31,999,880,000",,
"Kumsung Enc Co., Ltd","Kumsung Enc Co., Ltd","Kumsung Enc Co., Ltd",-,"50,007,500,000",,
Others,Others,Others,"78,709,512,590","167,753,647,256",,
,,,"241,169,660,393","405,052,583,497",,
b. Short-term trade receivables from related parties,b. Short-term trade receivables from related parties,b. Short-term trade receivables from related parties,b. Short-term trade receivables from related parties,b. Short-term trade receivables from related parties,,
(Details stated in Note 36),(Details stated in Note 36),(Details stated in Note 36),"35,077,863,116","27,198,896,069",,
,,,"35,077,863,116","27,198,896,069",,
Total,Total,Total,"276,247,523,509","432,251,479,566",,
