row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu nămVND,numeric__Số cuối nămVND,numeric__Số đầu nămVND
a. Ngân hạn,a. Ngân hạn,a. Ngân hạn,a. Ngân hạn,a. Ngân hạn,,
Chi phí bảo hiểm,a. Ngân hạn > Chi phí bảo hiểm,Chi phí bảo hiểm,6.029.512.339,5.654.446.620,6029512339.0,5654446620.0
"Công cụ, dụng cụ xuất dùng chờ phần bổ","a. Ngân hạn > Công cụ, dụng cụ xuất dùng chờ phần bổ","Công cụ, dụng cụ xuất dùng chờ phần bổ",486.973.306,4.395.293.493,486973306.0,4395293493.0
Chi phí bảo trì hệ thống công nghệ thông tin,a. Ngân hạn > Chi phí bảo trì hệ thống công nghệ thông tin,Chi phí bảo trì hệ thống công nghệ thông tin,185.723.019,10.650.109.221,185723019.0,10650109221.0
Chi phí sửa chữa văn phòng,a. Ngân hạn > Chi phí sửa chữa văn phòng,Chi phí sửa chữa văn phòng,,3.168.037.052,,3168037052.0
Chi phí trả trước ngắn hạn khác,a. Ngân hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,2.145.321.541,10.110.479.671,2145321541.0,10110479671.0
,,,8.847.530.205,33.978.366.057,8847530205.0,33978366057.0
b. Dải hạn,b. Dải hạn,b. Dải hạn,b. Dải hạn,b. Dải hạn,,
"Công cụ, dụng cụ xuất dùng chờ phần bổ","b. Dải hạn > Công cụ, dụng cụ xuất dùng chờ phần bổ","Công cụ, dụng cụ xuất dùng chờ phần bổ",18.838.234.364,22.592.700.959,18838234364.0,22592700959.0
Chi phí sửa chữa văn phòng,b. Dải hạn > Chi phí sửa chữa văn phòng,Chi phí sửa chữa văn phòng,15.074.142.178,,15074142178.0,
"Trả trước tiền thuê đất, thuê văn phòng","b. Dải hạn > Trả trước tiền thuê đất, thuê văn phòng","Trả trước tiền thuê đất, thuê văn phòng",7.619.742.931,10.364.224.313,7619742931.0,10364224313.0
Chi phí trả trước dài hạn khác,b. Dải hạn > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,25.907.583.211,24.659.736.157,25907583211.0,24659736157.0
,,,67.439.702.684,57.616.661.429,67439702684.0,57616661429.0
