row_label_raw,row_label_full,col_0,ITEMS,Codes,Notes,Current year,Prior year,numeric__ITEMS,numeric__Codes,numeric__Notes,numeric__Current year,numeric__Prior year
1.,1.,1.,Gross revenue from goods sold and services rendered,01,,"13,657,031,176,628","13,719,510,012,331",,1.0,,,
2.,2.,2.,Deductions,02,,"160,888,952,925","150,324,493,920",,2.0,,,
3.,3.,3.,Net revenue from goods sold and services rendered (10=01-02),10,28,"13,496,142,223,703","13,569,185,518,411",,10.0,28.0,,
4.,4.,4.,Cost of sales,11,28,"11,598,010,673,565","11,917,438,631,877",,11.0,28.0,,
5.,5.,5.,Gross profit from goods sold and services rendered (20=10-11),20,28,"1,898,131,550,138","1,651,746,886,534",,20.0,28.0,,
6.,6.,6.,Financial income,21,30,"369,143,114,332","457,576,170,227",,21.0,30.0,,
7.,7.,7.,Financial expenses,22,31,"65,028,684,735","71,157,838,669",,22.0,31.0,,
,,,- In which: Interest expense,23,,"47,838,183,679","50,638,299,383",,23.0,,,
8.,8.,8.,"Share of net profit from joint-ventures, associates",24,18,"2,649,700,205","2,664,912,263",,24.0,18.0,,
9.,9.,9.,Selling expenses,25,32,"837,208,423,254","848,444,338,144",,25.0,32.0,,
10.,10.,10.,General and administration expenses,26,32,"702,811,258,885","502,354,622,004",,26.0,32.0,,
11.,11.,11.,Operating profit (30=20+(21-22)+24-(25+26)),30,,"664,875,997,801","690,031,170,207",,30.0,,,
12.,12.,12.,Other income,31,,"12,791,842,667","11,025,864,376",,31.0,,,
13.,13.,13.,Other expenses,32,,"8,336,263,370","10,090,505,890",,32.0,,,
14.,14.,14.,Profit from other activities (40=31-32),40,,"4,455,579,297","935,358,486",,40.0,,,
15.,15.,15.,Accounting profit before tax (50=30+40),50,,"669,331,577,098","690,966,528,693",,50.0,,,
16.,16.,16.,Current corporate income tax expense,51,33,"152,663,594,385","33,233,788,075",,51.0,33.0,,
17.,17.,17.,Deferred corporate tax (income)/expense,52,33,"(37,598,558,785)","127,915,820,096",,52.0,33.0,,
18.,18.,18.,Net profit after corporate income tax (60=50-51-52),60,,"554,266,541,498","529,816,920,522",,60.0,,,
,,,In which:,,,,,,,,,
18.1,18.1,18.1,Profit after tax attributable to Parent Company,61,,"537,763,664,155","519,466,561,842",,61.0,,,
18.2,18.2,18.2,Profit after tax attributable to non-controlling shareholders,62,,"16,502,877,343","10,350,358,680",,62.0,,,
19.,19.,19.,Basic earnings per share,70,34,"1,078","1,029",,70.0,34.0,1.078,1.029
