row_label_raw,row_label_full,col_0,Reported amount,Restated amount,numeric__Reported amount,numeric__Restated amount
Profit after corporate income tax (VND),Profit after corporate income tax (VND),Profit after corporate income tax (VND),"519,466,561,842","519,466,561,842",,
Decreasing adjustments to profit to determine profit attributable to ordinary shareholders:,Decreasing adjustments to profit to determine profit attributable to ordinary shareholders:,Decreasing adjustments to profit to determine profit attributable to ordinary shareholders:,"(116,576,894,479)","(116,971,718,783)",,
Distributions to bonus and welfare fund (VND),Distributions to bonus and welfare fund (VND),Distributions to bonus and welfare fund (VND),"(116,576,894,479)","(116,971,718,783)",,
Profit attributable to ordinary shareholders (VND),Profit attributable to ordinary shareholders (VND),Profit attributable to ordinary shareholders (VND),"402,889,667,363","402,494,843,059",,
Average ordinary shares in circulation for the year (shares),Average ordinary shares in circulation for the year (shares),Average ordinary shares in circulation for the year (shares),"391,334,260","391,334,260",,
Basic earnings per share (VND/share),Average ordinary shares in circulation for the year (shares) > Basic earnings per share (VND/share),Basic earnings per share (VND/share),"1,030","1,029",1.03,1.029
