row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
a. Other short-term receivables,a. Other short-term receivables,a. Other short-term receivables,a. Other short-term receivables,a. Other short-term receivables,,
Vietnam Petrochemical and Fiber JSC,Vietnam Petrochemical and Fiber JSC,Vietnam Petrochemical and Fiber JSC,"272,789,241,398","114,209,081,543",,
- Receivables relating to guarantee (i),- Receivables relating to guarantee (i),- Receivables relating to guarantee (i),"266,367,097,158","107,786,937,303",,
- Other receivables,- Other receivables,- Other receivables,"6,422,144,240","6,422,144,240",,
PetroVietnam Trade and Services Joint Stock Company (ii),PetroVietnam Trade and Services Joint Stock Company (ii),PetroVietnam Trade and Services Joint Stock Company (ii),"109,993,267,289","110,043,267,289",,
Accrued interest income from term deposits,Accrued interest income from term deposits,Accrued interest income from term deposits,"104,669,638,367","115,078,553,295",,
Other short-term receivables,Other short-term receivables,Other short-term receivables,"45,308,392,009","38,471,659,765",,
,,,"532,760,539,063","377,802,561,892",,
In which:,In which:,In which:,In which:,In which:,,
Other short-term receivables from related parties (Details stated in Note 36),Other short-term receivables from related parties (Details stated in Note 36),Other short-term receivables from related parties (Details stated in Note 36),"384,885,919,646","225,470,431,024",,
b. Other long-term receivables,b. Other long-term receivables,b. Other long-term receivables,b. Other long-term receivables,b. Other long-term receivables,,
Long-term deposits,Long-term deposits,Long-term deposits,"1,125,000,000","876,100,000",,
,,,"1,125,000,000","876,100,000",,
