row_label_raw,row_label_full,col_0,Current year,Prior year,numeric__Current year,numeric__Prior year
,,,VND,VND,,
Sales,Sales,Sales,"144,636,330,675","261,371,413,081",,
Petro Vietnam Ca Mau Fertilizer Joint Stock Company,Petro Vietnam Ca Mau Fertilizer Joint Stock Company,Petro Vietnam Ca Mau Fertilizer Joint Stock Company,"132,966,743,012","127,929,716,919",,
Petro Vietnam Gas Joint Stock Corporation,Petro Vietnam Gas Joint Stock Corporation,Petro Vietnam Gas Joint Stock Corporation,"10,926,419,500","22,250,200,700",,
Petro Power Renewable Energy Joint Stock Company,Petro Power Renewable Energy Joint Stock Company,Petro Power Renewable Energy Joint Stock Company,"631,685,913","100,680,947,618",,
PTSC Phu My Port Joint Stock Company,PTSC Phu My Port Joint Stock Company,PTSC Phu My Port Joint Stock Company,"111,482,250","195,503,355",,
Vietsovpetro Joint Venture,Vietsovpetro Joint Venture,Vietsovpetro Joint Venture,-,"9,915,044,489",,
PTSC Thanh Hoa Port JSC,PTSC Thanh Hoa Port JSC,PTSC Thanh Hoa Port JSC,-,"400,000,000",,
Purchases,Purchases,Purchases,"6,790,343,745,788","5,627,510,909,772",,
Petro Vietnam Gas Joint Stock Corporation,Petro Vietnam Gas Joint Stock Corporation,Petro Vietnam Gas Joint Stock Corporation,"6,242,440,252,264","5,197,857,025,811",,
Dam Phu My Packaging Joint Stock Company,Dam Phu My Packaging Joint Stock Company,Dam Phu My Packaging Joint Stock Company,"257,773,330,310","244,877,830,362",,
PVI Holdings,PVI Holdings,PVI Holdings,"97,090,629,283","74,298,091,250",,
Vietnam Oil and Gas Group,Vietnam Oil and Gas Group,Vietnam Oil and Gas Group,"68,890,282,200","61,109,286,358",,
Petro Vietnam Chemical and Services Corporation,Petro Vietnam Chemical and Services Corporation,Petro Vietnam Chemical and Services Corporation,"64,050,991,322","2,171,985,286",,
PTSC Phu My Port Joint Stock Company,PTSC Phu My Port Joint Stock Company,PTSC Phu My Port Joint Stock Company,"19,128,018,604","18,084,275,088",,
PVD Trading and Technical Services Joint Stock Company,PVD Trading and Technical Services Joint Stock Company,PVD Trading and Technical Services Joint Stock Company,"11,434,750,000",-,,
Petro Vietnam Security Service Joint Stock Company,Petro Vietnam Security Service Joint Stock Company,Petro Vietnam Security Service Joint Stock Company,"11,202,041,758","7,519,029,964",,
