row_label_raw,row_label_full,col_0,col_1,col_2,col_3,VND,numeric__col_1,numeric__col_2,numeric__col_3,numeric__VND
PetroVietnam Fertilizer and Chemicals Corporation,PetroVietnam Fertilizer and Chemicals Corporation,PetroVietnam Fertilizer and Chemicals Corporation,Resolution No. 62/NQ-DHDCD dated 29 March 2024 and Resolution No. 24-279/NQ-PBHC dated 09 August 2024,The dividend paid from the profit in 2023,22 August 2024,"782,668,520,000",,,,
Northern PetroVietnam Fertilizer and Chemicals JSC,Northern PetroVietnam Fertilizer and Chemicals JSC,Northern PetroVietnam Fertilizer and Chemicals JSC,Resolution No. 37/NQ-DHDCD dated 22 April 2024,Dividend from profit after tax in 2023,15 August 2024,"9,600,000,000",,,,
Central PetroVietnam Fertilizer and Chemicals JSC,Central PetroVietnam Fertilizer and Chemicals JSC,Central PetroVietnam Fertilizer and Chemicals JSC,Resolution No. 46/NQ-DHDCD dated 05 April 2024,Dividend from profit after tax in 2023,4 September 2024,"14,000,000,000",,,,
SouthEast PetroVietnam Fertilizer and Chemicals JSC,SouthEast PetroVietnam Fertilizer and Chemicals JSC,SouthEast PetroVietnam Fertilizer and Chemicals JSC,Resolution No. 74/NQ-DNB dated 06 September 2024,Dividend from profit after tax in 2023,17 September 2024,"10,000,000,000",,,,
SouthWest PetroVietnam Fertilizer and Chemicals JSC,SouthWest PetroVietnam Fertilizer and Chemicals JSC,SouthWest PetroVietnam Fertilizer and Chemicals JSC,Resolution No. 09/NQ-TNB dated 13 August 2024,Dividend from profit after tax in 2023,5 September 2024,"8,500,000,000",,,,
Total,Total,Total,,,,"824,768,520,000",,,,
In which:,In which:,In which:,In which:,In which:,In which:,In which:,,,,
- Dividends to Owners,- Dividends to Owners,- Dividends to Owners,,,,"782,668,520,000",,,,
- Subsidiaries paid dividends to the Parent Company eliminated from the consolidated financial statements,- Subsidiaries paid dividends to the Parent Company eliminated from the consolidated financial statements,- Subsidiaries paid dividends to the Parent Company eliminated from the consolidated financial statements,,,,"31,575,000,000",,,,
- Dividends to Non-controlling interests,- Dividends to Non-controlling interests,- Dividends to Non-controlling interests,,,,"10,525,000,000",,,,
