row_label_raw,row_label_full,col_0,Current year,Prior year,numeric__Current year,numeric__Prior year
,,,VND,VND,,
Selling expenses,Selling expenses,Selling expenses,Selling expenses,Selling expenses,,
"Transportation, loading, unloading and storages","Transportation, loading, unloading and storages","Transportation, loading, unloading and storages","301,629,650,214","310,648,973,160",,
"Social security, advertisement and marketing","Social security, advertisement and marketing","Social security, advertisement and marketing","276,678,466,963","277,991,474,962",,
Salary and other benefits for sale staff,Salary and other benefits for sale staff,Salary and other benefits for sale staff,"107,455,931,193","96,768,673,993",,
Others,Others,Others,"151,444,374,884","163,035,216,029",,
,,,"837,208,423,254","848,444,338,144",,
General and administration expenses,General and administration expenses,General and administration expenses,General and administration expenses,General and administration expenses,,
Administration staff costs,Administration staff costs,Administration staff costs,"209,185,530,093","189,813,835,005",,
Provision for doubtful debts,Provision for doubtful debts,Provision for doubtful debts,"159,240,643,805","(145,704,205)",,
Depreciation and amortisation,Depreciation and amortisation,Depreciation and amortisation,"37,749,197,778","33,553,552,368",,
Others,Others,Others,"296,635,887,209","279,132,938,836",,
,,,"702,811,258,885","502,354,622,004",,
