row_label_raw,row_label_full,col_0,ASSETS,Codes,Notes,Closing balance,Opening balance,numeric__ASSETS,numeric__Codes,numeric__Notes,numeric__Closing balance,numeric__Opening balance
A.,A.,A.,CURRENT ASSETS,100,,"13,219,573,591,341","9,565,106,752,268",,100.0,,,
I.,I.,I.,Cash and cash equivalents,110,4,"1,004,912,303,570","1,241,561,362,115",,110.0,4.0,,
1.,1.,1.,Cash,111,,"741,876,402,650","574,781,435,783",,111.0,,,
2.,2.,2.,Cash equivalents,112,,"263,035,900,920","666,779,926,332",,112.0,,,
II.,II.,II.,Short-term financial investments,120,5,"9,464,000,000,000","5,385,000,000,000",,120.0,5.0,,
1.,1.,1.,Held-to-maturity investments,123,,"9,464,000,000,000","5,385,000,000,000",,123.0,,,
III.,III.,III.,Short-term receivables,130,,"653,185,512,324","642,215,358,351",,130.0,,,
1.,1.,1.,Short-term trade receivables,131,6,"276,247,523,509","432,251,479,566",,131.0,6.0,,
2.,2.,2.,Short-term advances to suppliers,132,7,"227,545,463,111","56,288,686,447",,132.0,7.0,,
3.,3.,3.,Other short-term receivables,136,8,"532,760,539,063","377,802,561,892",,136.0,8.0,,
4.,4.,4.,Provision for short-term doubtful debts,137,9,"(383,368,013,359)","(224,127,369,554)",,137.0,9.0,,
IV.,IV.,IV.,Inventories,140,10,"1,730,684,831,761","1,910,840,607,214",,140.0,10.0,,
1.,1.,1.,Inventories,141,,"1,731,334,756,236","1,942,109,074,750",,141.0,,,
2.,2.,2.,Provision for devaluation of inventories,149,,"(649,924,475)","(31,268,467,536)",,149.0,,,
V.,V.,V.,Other short-term assets,150,,"366,790,943,686","385,489,424,588",,150.0,,,
1.,1.,1.,Short-term prepayments,151,11,"8,847,530,205","33,978,366,057",,151.0,11.0,,
2.,2.,2.,Value added tax deductibles,152,,"357,943,413,481","310,224,881,046",,152.0,,,
3.,3.,3.,Taxes and other receivables from the State budget,153,16,,"41,286,177,485",,153.0,16.0,,
