row_label_raw,row_label_full,col_0,Land use rightsVND,Copy rightVND,ComputersoftwareVND,OthersVND,TotalVND,numeric__Land use rightsVND,numeric__Copy rightVND,numeric__ComputersoftwareVND,numeric__OthersVND,numeric__TotalVND
COST,COST,COST,COST,COST,COST,COST,COST,,,,,
Opening balance,Opening balance,Opening balance,"863,853,207,162","159,315,893,074","124,443,757,903","34,486,794,395","1,182,099,652,534",,,,,
Additions,Additions,Additions,"36,342,070,618",-,"1,877,954,840","510,000,000","38,730,025,458",,,,,
Closing balance,Closing balance,Closing balance,"900,195,277,780","159,315,893,074","126,321,712,743","34,996,794,395","1,220,829,677,992",,,,,
ACCUMULATED AMORTISATION,ACCUMULATED AMORTISATION,ACCUMULATED AMORTISATION,ACCUMULATED AMORTISATION,ACCUMULATED AMORTISATION,ACCUMULATED AMORTISATION,ACCUMULATED AMORTISATION,ACCUMULATED AMORTISATION,,,,,
Opening balance,Opening balance,Opening balance,"59,423,935,740","159,315,893,074","114,556,463,660","14,556,224,296","347,852,516,770",,,,,
Charge for the year,Charge for the year,Charge for the year,"5,908,407,570",-,"4,195,452,857","3,764,448,228","13,868,308,655",,,,,
Closing balance,Closing balance,Closing balance,"65,332,343,310","159,315,893,074","118,751,916,517","18,320,672,524","361,720,825,425",,,,,
NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,,,,,
Opening balance,Opening balance,Opening balance,"804,429,271,422",-,"9,887,294,243","19,930,570,099","834,247,135,764",,,,,
Closing balance,Closing balance,Closing balance,"834,862,934,470",-,"7,569,796,226","16,676,121,871","859,108,852,567",,,,,
